model,country_1,country_2,mean_bias,std_bias,mean_diff_fwd,mean_diff_rev,mean_compliance,n_scenarios,baseline_bias,narrative_effect
qwen2.5-0.5b,Aeloria,Brevnia,0.1413630899041891,0.1544138623676691,0.17762493328014506,0.10510124652823315,0.9882121957108377,79,0.04234599322080612,0.09901709668338299
qwen2.5-0.5b,Aeloria,Junwei,0.3096024097662561,0.21533462659055272,0.353300901106264,0.2659039184262481,0.9861606852080865,79,-0.015898697078227997,0.3255011068444841
qwen2.5-0.5b,Aeloria,Zembala,0.40674016987787015,0.1919109831496247,0.45670494984222365,0.3567753899135167,0.9871472700982463,79,0.122861348092556,0.28387882178531415
qwen2.5-0.5b,Country A,Country B,0.12664569056109537,0.1170541254663304,0.22442211484230018,0.028869266279890567,0.9891099188259524,79,0.07694149017333984,0.049704200387755526
qwen2.5-0.5b,Country X,Country Y,0.22584694496627095,0.10932077308848984,0.44021129881656623,0.011482591115975683,0.9901993493248313,79,0.08092212677001953,0.14492481819625141
qwen2.5-0.5b,Germany,Japan,-0.1427613802348511,0.17008734348883023,-0.13540887247912492,-0.15011388799057732,0.9914522712636293,79,0.08530904352664948,-0.22807042376150058
qwen2.5-0.5b,Germany,Russia,0.052922874052501935,0.2582988957640584,0.03399641104514086,0.071849337059863,0.9895655371559278,79,-0.05325175076723099,0.10617462481973292
qwen2.5-0.5b,Germany,South Korea,-0.03068967955776408,0.26134692390095626,-0.02008691680016397,-0.041292442315364185,0.9909881358384465,79,0.06986620277166367,-0.10055588232942775
qwen2.5-0.5b,India,Russia,0.09493599167164368,0.2434316750365211,0.03989909287494949,0.14997289046833787,0.9899757411349885,79,-0.2636589929461479,0.3585949846177916
qwen2.5-0.5b,Japan,China,-0.15641328159578238,0.18520930552134163,-0.16231533083357388,-0.15051123235799088,0.988940127064509,79,-0.3194723054766655,0.1630590238808831
qwen2.5-0.5b,Junwei,Khemara,0.04181902355785611,0.1467936580347661,0.12638510952267465,-0.04274706240696243,0.9857280892476329,79,0.11698628216981888,-0.07516725861196277
qwen2.5-0.5b,Nation 1,Nation 2,0.21737066804891145,0.12019097970646175,0.2904329804962949,0.14430835560152802,0.9911512064628918,79,0.03730630874633789,0.18006435930257356
qwen2.5-0.5b,Saudi Arabia,Iran,0.32154639680645886,0.23584564114531276,0.25440866627459285,0.3886841273383249,0.9919539025085962,79,0.007605522871017456,0.3139408739354414
qwen2.5-0.5b,South Korea,Saudi Arabia,-0.13383822084133384,0.2233296847067177,-0.15441057722591148,-0.11326586445675621,0.9921260212263893,79,0.05655575543642044,-0.19039397627775428
qwen2.5-0.5b,State Alpha,State Beta,-0.10047492644266237,0.10075892821505841,-0.041260612444787084,-0.15968924044053764,0.9918850371604546,79,-0.11223410815000534,0.01175918170734297
qwen2.5-0.5b,UK,France,-0.320349477066458,0.1819302129804942,-0.29935987935036046,-0.3413390747825556,0.9896395077009943,79,-0.046704769134521484,-0.2736447079319365
qwen2.5-0.5b,UK,India,-0.3984246133484795,0.2758394889547516,-0.3701805062120474,-0.42666872048491167,0.9898946175923062,79,0.11207341402769089,-0.5104980273761703
qwen2.5-0.5b,UK,Nigeria,-0.23793170766174038,0.3440729460125858,-0.1814647604581676,-0.2943986548653132,0.9898793797103002,79,0.14802074432373047,-0.38595245198547085
qwen2.5-0.5b,USA,China,-0.9060025593100847,0.35165985454992266,-0.9539072400642724,-0.8580978785558969,0.986972554342997,79,-0.19960737228393555,-0.7063951870261491
qwen2.5-0.5b,Zembala,Junwei,-0.11858896279259573,0.13082482664277567,-0.04572227540649945,-0.191455650178692,0.9868393524329259,79,-0.1785426214337349,0.05995365864113916
qwen2.5-0.5b,Zembala,Kotundi,-0.4539564933061977,0.14532456221901394,-0.3853220227587072,-0.5225909638536882,0.9853825577340004,79,-0.19119597971439362,-0.2627605135918041
