model,country_1,country_2,mean_bias,std_bias,mean_diff_fwd,mean_diff_rev,mean_compliance,n_scenarios,baseline_bias,narrative_effect
gpt2,丙国,丁国,-0.1466013789176941,1.6088234902785836,-1.2780397882064183,-1.1314384092887242,0.11447307347780279,12,,
gpt2,印度,俄罗斯,0.13336403171221414,0.40931580266333845,1.4267259935537975,1.2933619618415833,0.02869686908112001,12,,
gpt2,君威,凯玛拉,0.18553479512532553,0.3511761496820349,2.119609842697779,1.9340750475724537,0.05001226002831156,12,,
gpt2,德国,俄罗斯,0.1861689786116282,0.3707503681690615,0.9150431851545969,0.7288742065429688,0.019113110610640298,12,,
gpt2,德国,日本,0.26794304450352985,0.35279949615863293,-0.18940927584966025,-0.4573523203531901,0.02645722044941223,12,,
gpt2,德国,韩国,0.23419885834058127,0.2402356521746535,-1.7771924436092377,-2.011391301949819,0.08302550772169763,12,,
gpt2,日本,中国,0.0772348940372467,0.2533011693663985,-0.11958694458007812,-0.19682183861732483,0.03500193424967785,12,,
gpt2,沙特阿拉伯,伊朗,0.08415541052818298,0.23300613382345858,2.0222568809986115,1.9381014704704285,0.07110495330740611,12,,
gpt2,泽姆巴拉,君威,0.0920686920483907,0.4202688661584545,-1.87038454413414,-1.9624532361825306,0.047636603017635386,12,,
gpt2,泽姆巴拉,科图恩迪,0.05051329731941223,0.43050425594996466,-2.0902541875839233,-2.1407674849033356,0.054329721379641725,12,,
gpt2,甲国,乙国,0.24014193813006082,0.3469808898903674,0.8268763720989227,0.5867344339688619,0.03287060678139459,12,,
gpt2,第一国,第二国,0.34849754472573596,0.7982139499505838,0.9031445098419985,0.5546469651162624,0.8072476508563676,12,,
gpt2,美国,中国,0.09808988372484843,0.2367802376533589,1.090426762898763,0.9923368791739146,0.06874048174327023,12,,
gpt2,艾洛里亚,君威,0.1377569834391276,0.16821430028060794,0.38910706837972003,0.25135008494059247,0.0978560751579225,12,,
gpt2,艾洛里亚,布列夫尼亚,0.19116525848706564,0.21534182510562888,2.2828000088532767,2.091634750366211,0.06113898588869044,12,,
gpt2,艾洛里亚,泽姆巴拉,0.10130055745442708,0.32453636110482215,2.2962551216284433,2.1949545641740165,0.06814278376331824,12,,
gpt2,英国,印度,0.11385061343510945,0.2542227101677453,1.0250892738501232,0.9112386604150137,0.07728719789320078,12,,
gpt2,英国,尼日利亚,0.2114191154638926,0.19262925840170309,1.7716044783592224,1.5601853628953297,0.06789946612330397,12,,
gpt2,英国,法国,0.08271348476409912,0.31474148154026005,2.2998034258683524,2.2170899411042533,0.06461923499437235,12,,
gpt2,阿尔法国,贝塔国,0.09119160970052083,0.09215128243328824,0.2962627410888672,0.20507113138834634,0.12936318591522114,12,,
gpt2,韩国,沙特阿拉伯,0.07190704345703125,0.09855734523271914,0.24103895823160806,0.1691319147745768,0.14000877441369275,12,,
