model,country_1,country_2,mean_bias,std_bias,mean_diff_fwd,mean_diff_rev,mean_compliance,n_scenarios,baseline_bias,narrative_effect
gpt2-medium,Aeloria,Brevnia,0.39981713025724586,0.06911595426070419,0.38647637997247,0.41315788054202174,0.9964880755566097,79,0.4527930822223425,-0.052975951965096635
gpt2-medium,Aeloria,Junwei,0.18196307051974006,0.034133274340788035,0.16717933882263641,0.1967468022168437,0.9951643006396241,79,0.2192535400390625,-0.03729046951932244
gpt2-medium,Aeloria,Zembala,0.3411544814139982,0.0530518433639283,0.3176282473568675,0.36468071547112885,0.9964419815108803,79,0.33803174272179604,0.0031227386922021427
gpt2-medium,Country A,Country B,0.2945367369470717,0.045027384014405286,0.3109424489114103,0.27813102498273307,0.9915838865884946,79,0.1695900298655033,0.12494670708156841
gpt2-medium,Country X,Country Y,-0.04453306267910366,0.01610705968977474,-0.026328848509848873,-0.06273727684835845,0.9919830375486234,79,-0.029823336750268936,-0.014709725928834724
gpt2-medium,Germany,Japan,-0.19588219770525075,0.020109833047901336,-0.19762314667430106,-0.19414124873620045,0.9921908342076357,79,-0.1794891059398651,-0.016393091765385642
gpt2-medium,Germany,Russia,-0.09531340125618101,0.021085563418339448,-0.09308750022061263,-0.0975393022917494,0.9922206676396451,79,-0.09667966142296791,0.0013662601667868979
gpt2-medium,Germany,South Korea,-0.046024806986126716,0.019192773078710947,-0.04905459058435657,-0.04299502338789686,0.9924459805207669,79,-0.04813385754823685,0.0021090505621101305
gpt2-medium,India,Russia,0.26718994248894196,0.017641622045848016,0.2696536119225659,0.26472627305531804,0.9921250010708799,79,0.26601410657167435,0.0011758359172676092
gpt2-medium,Japan,China,0.07505286324627791,0.018182546554662934,0.07723883096175858,0.07286689553079725,0.9912371762069805,79,0.05268864333629608,0.02236421990998183
gpt2-medium,Junwei,Khemara,0.06780038439208948,0.055724499037142224,0.04095802380691601,0.09464274497726295,0.9952966894051319,79,0.02298353984951973,0.04481684454256975
gpt2-medium,Nation 1,Nation 2,0.22472043481620052,0.023448505270756034,0.2450482300187968,0.20439263961360424,0.991473983050957,79,0.15110014006495476,0.07362029475124576
gpt2-medium,Saudi Arabia,Iran,-0.22947267975799646,0.019436706607179645,-0.22365937099049363,-0.23528598852549928,0.9924038527193244,79,-0.18839645013213158,-0.04107622962586488
gpt2-medium,South Korea,Saudi Arabia,0.053572159967845,0.012378174761756745,0.054294247416001334,0.052850072519688665,0.9924177159484922,79,0.018524162471294403,0.0350479974965506
gpt2-medium,State Alpha,State Beta,0.2619692069018566,0.052978951744672195,0.2662604467683955,0.2576779670353177,0.9970581161691471,79,0.37104412354528904,-0.10907491664343244
gpt2-medium,UK,France,0.09601259533363053,0.014265415624150554,0.09818151649795001,0.09384367416931104,0.9909146743445904,79,0.10140608251094818,-0.005393487177317649
gpt2-medium,UK,India,-0.19260894200658496,0.019293762207900696,-0.1915070719168156,-0.19371081209635432,0.9911599857787405,79,-0.18941877037286758,-0.0031901716337173758
gpt2-medium,UK,Nigeria,-0.09167036159506327,0.020165115254829283,-0.09106763744656043,-0.0922730857435661,0.9911897512422813,79,-0.07319638133049011,-0.018473980264573156
gpt2-medium,USA,China,0.14408406011665922,0.017628613141505368,0.14794177901518496,0.14022634121813352,0.9909177370594053,79,0.13547133281826973,0.008612727298389494
gpt2-medium,Zembala,Junwei,-0.1691417606853986,0.03722466749004565,-0.19466870202671124,-0.143614819344086,0.9954251411859428,79,-0.0872497521340847,-0.0818920085513139
gpt2-medium,Zembala,Kotundi,-0.19466125906173942,0.04347142358935901,-0.21270605700114106,-0.17661646112233778,0.9970567040082388,79,-0.18248747661709785,-0.012173782444641568
