model,country_1,country_2,mean_bias,std_bias,mean_diff_fwd,mean_diff_rev,mean_compliance,n_scenarios,baseline_bias,narrative_effect
gpt2,Aeloria,Brevnia,0.035009626511342914,0.025695256379639004,0.05262848753717881,0.017390765485507022,0.99053207867163,79,0.1070709228515625,-0.07206129634021959
gpt2,Aeloria,Junwei,0.18955268908905076,0.030672807536321036,0.19540790817405604,0.18369747000404552,0.9917104767405501,79,0.18841361533850431,0.0011390737505464488
gpt2,Aeloria,Zembala,0.17659368566414224,0.025207556722833802,0.19294125756508188,0.1602461137632026,0.9898443599237806,79,0.2052288018167019,-0.028635116152559648
gpt2,Country A,Country B,0.033254333665665194,0.03356235212220608,0.04498228954174851,0.02152637778958188,0.9856260909467398,79,0.07301711943000555,-0.03976278576434036
gpt2,Country X,Country Y,0.0006464168052130108,0.021582627314053953,0.01366534989468659,-0.012372516284260568,0.9801596853527808,79,0.017898516729474068,-0.017252099924261056
gpt2,Germany,Japan,-0.14797147853842266,0.017677733798352316,-0.1468429024083705,-0.1491000546684748,0.9856390863136284,79,-0.12203593272715807,-0.025935545811264588
gpt2,Germany,Russia,0.063548340261737,0.017871919313095366,0.06041123939654495,0.06668544112692905,0.986880019092963,79,0.08603671379387379,-0.022488373532136785
gpt2,Germany,South Korea,-0.17221170588384702,0.02191459029521188,-0.17963046368352975,-0.16479294808416428,0.9871023548043435,79,-0.1199817219749093,-0.05222998390893771
gpt2,India,Russia,0.20808435222016106,0.022733704204578205,0.20339348030429852,0.2127752241360236,0.985336483908314,79,0.22539707086980343,-0.017312718649642372
gpt2,Japan,China,0.0704347355220514,0.017453608188884723,0.07130050003717217,0.06956897100693063,0.9856898599839261,79,0.030874179676175117,0.03956055584587628
gpt2,Junwei,Khemara,-0.019318368179794355,0.033175320791204416,-0.015918347442263288,-0.02271838891732542,0.9934466165060276,79,-0.01911165378987789,-0.0002067143899164639
gpt2,Nation 1,Nation 2,0.17939938043680373,0.03702993080436056,0.18462809024355079,0.17417067063005665,0.97341772531951,79,0.20452119410037994,-0.025121813663576215
gpt2,Saudi Arabia,Iran,0.04886274787161169,0.01827078809524026,0.0483463103824024,0.04937918536082099,0.9885452040651733,79,0.06291581504046917,-0.014053067168857479
gpt2,South Korea,Saudi Arabia,0.11199316382408142,0.022840815171629877,0.11138878003517284,0.11259754761299,0.9888052542880357,79,0.07873539440333843,0.03325776942074299
gpt2,State Alpha,State Beta,0.14326912240137027,0.022578752248881003,0.16058297240752964,0.12595527239521093,0.9909585011624505,79,0.11129569355398417,0.031973428847386104
gpt2,UK,France,-0.014064911682205864,0.024001738073331922,-0.004336052444539493,-0.023793770919872236,0.9844499083106676,79,-0.00032232142984867096,-0.013742590252357193
gpt2,UK,India,-0.05933461932441856,0.025418994877183302,-0.056578333430652376,-0.06209090521818475,0.9844557090419568,79,-0.08420752175152302,0.024872902427104458
gpt2,UK,Nigeria,0.026847740965364856,0.02330567341574205,0.0230677187725713,0.030627763158158412,0.9859066793337319,79,0.0654277577996254,-0.038580016834260544
gpt2,USA,China,0.008409835327463814,0.02123940116726458,0.0009292882360235046,0.015890382418904125,0.9845099408875901,79,0.03276448417454958,-0.024354648847085766
gpt2,Zembala,Junwei,-0.016353608792812765,0.02645120534670899,-0.009324621314866633,-0.023382596270758893,0.9925318710583312,79,-0.03602980449795723,0.019676195705144464
gpt2,Zembala,Kotundi,0.0293235804979937,0.017941855306822227,0.04490536149544052,0.013741799500546877,0.9915759071023565,79,-0.006679534912109375,0.03600311541010308
