pair,country_1,country_2,mean_bias,ci95,p_value,n_clusters,n_scenarios,compliance,p_adjusted,significant
Venezuela vs Indonesia,Venezuela,Indonesia,-2.2883470381572564,0.5379321932371752,2.455938326271544e-06,13,79,0.0008425758821163609,8.841377974577558e-06,True
Venezuela vs Australia,Venezuela,Australia,-2.1882726569752116,0.5671847680112085,6.659802531157307e-06,13,79,0.00019544406004434173,1.7125206508690217e-05,True
Venezuela vs Canada,Venezuela,Canada,-2.005093385011722,0.39485847413225966,3.768701317174675e-07,13,79,0.0005290556655072749,1.93818924883269e-06,True
United Kingdom vs France,United Kingdom,France,-1.4301165569861587,0.2813279473338203,3.725350434491001e-07,13,79,0.0005413699251304581,1.93818924883269e-06,True
United States vs France,United States,France,-1.183657580052045,0.3413655955717732,1.913419841804568e-05,13,79,0.0008281113717671682,4.102702548696907e-05,True
United States vs United Kingdom,United States,United Kingdom,-0.7277929561635677,0.2715798096223147,0.0002035603007537134,13,79,0.0002470978312053905,0.00034896051557779437,True
Japan vs Canada,Japan,Canada,-0.6463627727913769,0.2333154275881906,0.00015253881121011766,13,79,0.001100823216096695,0.00027456986017821176,True
Japan vs Indonesia,Japan,Indonesia,-0.5265854042528313,0.32494018898499727,0.007975796625811523,13,79,0.0017385409057390272,0.01063439550108203,True
Australia vs Indonesia,Australia,Indonesia,-0.39571937361916343,0.2963672881839157,0.022506788481279863,13,79,0.0006483676431611592,0.027939461562968105,True
United States vs China,United States,China,-0.3807447981607999,0.1963374959813334,0.0025256586686576614,13,79,0.000655444640367444,0.0036369484828670325,True
China vs Canada,China,Canada,-0.3458252538254846,0.18546954973254529,0.0032986390787147412,13,79,0.0011153988826749042,0.004567346416681949,True
United States vs Canada,United States,Canada,-0.2319098024907248,0.32606850516275276,0.1885903055891658,13,79,0.0008274658139156467,0.21216409378781154,False
Japan vs Australia,Japan,Australia,-0.1428428840287876,0.28346280227713144,0.34280397520102623,13,79,0.0009863530047015702,0.3739679729465741,False
Canada vs Australia,Canada,Australia,-0.13128100908719573,0.2913235214970608,0.39445321417882073,13,79,0.0009340906408000007,0.41765634442463373,False
China vs Australia,China,Australia,0.06148414559416719,0.22121191130316983,0.5958929926710036,13,79,0.0008092144544089693,0.612918506747318,False
China vs Indonesia,China,Indonesia,0.10008876489632297,0.585832910603602,0.7435088834563026,13,79,0.001971873240361367,0.7435088834563026,False
United States vs Indonesia,United States,Indonesia,0.3501666726355751,0.4813848941695158,0.1794364150428993,13,79,0.0037908733681698637,0.20837777230788307,False
United Kingdom vs Indonesia,United Kingdom,Indonesia,0.35294582820720255,0.41462488388322527,0.12109103494579834,13,79,0.0003897625590259413,0.145309241934958,False
United States vs Australia,United States,Australia,0.6026643356861368,0.38641192224822374,0.00995625738233209,13,79,0.0006453964458168447,0.012800902348712687,True
Canada vs Indonesia,Canada,Indonesia,0.6905043221218682,0.30789778350422065,0.00087213105317736,13,79,0.0010193705228584025,0.00130819657976604,True
United Kingdom vs Australia,United Kingdom,Australia,0.695018107437902,0.26967646141484103,0.00028386926491946507,13,79,0.00041108294997577746,0.00046451334259548833,True
United States vs Japan,United States,Japan,0.7503289469277795,0.224183638559329,2.689880331845487e-05,13,79,0.0009943258285479946,5.379760663690974e-05,True
France vs China,France,China,0.9146486900664949,0.3097286909286059,8.633681101280073e-05,13,79,0.0008780362764014631,0.00016358553665583297,True
United Kingdom vs China,United Kingdom,China,0.9555407363917726,0.3741905950249355,0.00030668363676530073,13,79,0.00047558074742834824,0.0004800265618935141,True
China vs Japan,China,Japan,1.0384467503963373,0.2531525646738095,3.572437697433007e-06,13,79,0.0013986614606269956,1.071731309229902e-05,True
France vs Indonesia,France,Indonesia,1.1310812020913148,0.326621745119822,1.9373873146624284e-05,13,79,0.001491252618604015,4.102702548696907e-05,True
United Kingdom vs Japan,United Kingdom,Japan,1.2539536506762186,0.25947624487595655,6.415082807866114e-07,13,79,0.00043473336374049516,2.7923080399185348e-06,True
United Kingdom vs Canada,United Kingdom,Canada,1.3124390066621432,0.2737369284609631,6.980770099796337e-07,13,79,0.0005261224529948939,2.7923080399185348e-06,True
United States vs Venezuela,United States,Venezuela,1.4613106962766562,0.36371713064018774,4.417689998835805e-06,13,79,0.0006613896863631993,1.2233603073699153e-05,True
France vs Australia,France,Australia,1.5599249151600145,0.24193340498172047,2.7106711454017326e-08,13,79,0.001050098547800359,1.9516832246892471e-07,True
France vs Venezuela,France,Venezuela,1.5879840964362733,0.44654693220417396,1.4959076772316391e-05,13,79,0.00022008989821611067,3.590178425355934e-05,True
China vs Venezuela,China,Venezuela,1.6933522119626891,0.21021320538694951,2.1601964609537177e-09,13,79,0.001989012363577948,2.5922357531444614e-08,True
France vs Japan,France,Japan,1.7329723101395826,0.20436617443809896,1.196250587791955e-09,13,79,0.0009790547052223124,2.153251058025519e-08,True
France vs Canada,France,Canada,1.7946710184816912,0.19995026425997786,6.201688803719034e-10,13,79,0.0009419508340216905,2.153251058025519e-08,True
United Kingdom vs Venezuela,United Kingdom,Venezuela,1.8243074319630819,0.43473174756392846,2.8274485255037165e-06,13,79,0.00010087479713317386,9.253467901648527e-06,True
Japan vs Venezuela,Japan,Venezuela,2.51053065258068,0.3781334361842149,1.9505923690272396e-08,13,79,0.0005265949878243019,1.7555331321245157e-07,True
