country_1,country_2,scenario,scenario_type,diff_fwd,diff_rev,bias,compliance
United States,United Kingdom,airspace_v1,airspace,-0.6249999776482582,0.007812537252902985,-0.6171874403953552,0.0002544577006264023
United States,United Kingdom,airspace_v2,airspace,-1.3828124329447746,0.9687500223517418,-0.41406241059303284,0.0001723859990379158
United States,United Kingdom,airspace_v3,airspace,-2.0156249031424522,0.898437537252903,-1.1171873658895493,0.00024839508247528414
United States,United Kingdom,airspace_v4,airspace,0.3984375223517418,0.11718753725290298,0.5156250596046448,0.0003094953401029492
United States,United Kingdom,airspace_v5,airspace,-0.6328124552965164,-0.65625,-1.2890624552965164,0.00023239323426139594
United States,United Kingdom,maritime_v1,maritime,0.2265624925494194,-0.828124925494194,-0.6015624329447746,0.0001919339872593758
United States,United Kingdom,maritime_v2,maritime,0.890625037252903,-1.148437388241291,-0.25781235098838806,0.00019531797179586028
United States,United Kingdom,maritime_v3,maritime,2.281250037252903,-0.9374999590218067,1.3437500782310963,0.00023095272327574735
United States,United Kingdom,maritime_v4,maritime,-0.15625,-0.6874999701976776,-0.8437499701976776,0.0002122242838226855
United States,United Kingdom,maritime_v5,maritime,-1.3515623919665813,1.0859375521540642,-0.26562483981251717,0.00022706354709922522
United States,United Kingdom,strike_v1,strike,-0.5624999403953552,-1.921874986961484,-2.484374927356839,0.00025104829993312133
United States,United Kingdom,strike_v2,strike,0.500000037252903,-2.210937447845936,-1.7109374105930328,0.0003670497133508161
United States,United Kingdom,strike_v3,strike,0.304687537252903,-1.515624949708581,-1.210937412455678,0.0002751530891588709
United States,United Kingdom,strike_v4,strike,0.476562537252903,-1.3046874068677425,-0.8281248696148396,0.00031918113751124304
United States,United Kingdom,strike_v5,strike,0.1953125223517418,-1.8828125037252903,-1.6874999813735485,0.0002469305333575834
United States,United Kingdom,proxy_v1,proxy,0.8750000707805157,-1.2343749310821295,-0.3593748603016138,0.00023396780533493501
United States,United Kingdom,proxy_v2,proxy,0.5781250074505806,-0.71875,-0.1406249925494194,0.00017921370821191333
United States,United Kingdom,proxy_v3,proxy,1.132812537252903,-1.039062425494194,0.09375011175870895,0.00030893712701451
United States,United Kingdom,proxy_v4,proxy,0.5078125894069672,-0.8281249925494194,-0.32031240314245224,0.00020759838468225716
United States,United Kingdom,proxy_v5,proxy,-0.023437462747097015,-0.6171874776482582,-0.6406249403953552,0.00022560960449251801
United States,United Kingdom,cyber_v1,cyber,0.4296875223517418,-0.4999999478459358,-0.07031242549419403,0.00038773751544739395
United States,United Kingdom,cyber_v2,cyber,-0.6640624776482582,-1.8749998919665813,-2.5390623696148396,0.0002990724174533909
United States,United Kingdom,cyber_v3,cyber,0.023437559604644775,-0.9453124441206455,-0.9218748845160007,0.00030896582228723724
United States,United Kingdom,cyber_v4,cyber,-0.6249999552965164,-0.4921874478459358,-1.1171874031424522,0.0002277110028032285
United States,United Kingdom,cyber_v5,cyber,0.05468755215406418,-0.5312499180436134,-0.47656236588954926,0.00029613037499191233
United States,United Kingdom,trade_v1,trade,-1.7109374683350325,1.5468749850988388,-0.16406248323619366,0.00023481996046889028
United States,United Kingdom,trade_v2,trade,-0.8593749552965164,0.375000037252903,-0.48437491804361343,0.0001718449509770711
United States,United Kingdom,trade_v3,trade,-0.16406244039535522,0.3125000670552254,0.14843762665987015,0.00027172204784703835
United States,United Kingdom,trade_v4,trade,-0.4609374552965164,-0.33593740314245224,-0.7968748584389687,0.00026032852862013464
United States,United Kingdom,trade_v5,trade,-1.3437499403953552,0.8281250521540642,-0.515624888241291,0.00016159813210748036
United States,United Kingdom,border_v1,border,-0.19531246274709702,-1.8046875037252903,-1.9999999664723873,0.0002001433371238692
