pair,country_1,country_2,mean_bias,ci95,p_value,n_clusters,n_scenarios,compliance,p_adjusted,significant
Venezuela vs Canada,Venezuela,Canada,-5.0657623731173,0.459759942991301,5.6817912679340076e-11,13,79,0.00047679919497755393,7.872295657444266e-10,True
Venezuela vs Australia,Venezuela,Australia,-4.856341593431467,0.6279686300829004,3.448682435544857e-09,13,79,0.00036712707384373264,2.0920074755808874e-08,True
Japan vs Australia,Japan,Australia,-2.8753725303398383,0.37216762893896793,3.4866791259681458e-09,13,79,0.0008025144137047623,2.0920074755808874e-08,True
Japan vs Canada,Japan,Canada,-2.509673152651106,0.23058551928980095,6.560246381203555e-11,13,79,0.001227306627880653,7.872295657444266e-10,True
China vs Australia,China,Australia,-1.9979825002369862,0.47879239408011953,2.9955225838721685e-06,13,79,0.00038247591011581996,6.352197248828317e-06,True
France vs Canada,France,Canada,-1.7000910799145261,0.3380939520381891,4.189039407405205e-07,13,79,0.0008843020302097628,1.2567118222215615e-06,True
United States vs United Kingdom,United States,United Kingdom,-1.4781792764125508,0.36425427772941993,3.989020953658054e-06,13,79,0.000527037901488615,7.978041907316109e-06,True
Japan vs Indonesia,Japan,Indonesia,-1.4038461311396224,0.39220449029333937,1.4034336503640782e-05,13,79,0.00114497894240184,2.1966787570916008e-05,True
France vs Australia,France,Australia,-1.1733635912884721,0.40330570256434406,9.87637423675657e-05,13,79,0.0005084985140752712,0.00014814561355134856,True
China vs Canada,China,Canada,-1.0407222487550951,0.4060742264455769,0.00029750787975114283,13,79,0.0005755406114127656,0.00041193398734773625,True
Japan vs Venezuela,Japan,Venezuela,-0.7879893264491044,0.48320710820166796,0.007685596024548071,13,79,0.0012820346220770976,0.008925208286571954,True
Venezuela vs Indonesia,Venezuela,Indonesia,-0.7495493059193259,0.8248376790274559,0.10020219940455162,13,79,0.0003830749752137934,0.10931149025951087,False
France vs China,France,China,-0.11306616412850963,0.29119484521977973,0.4613295225070969,13,79,0.0007117574846078145,0.4613295225070969,False
United Kingdom vs Canada,United Kingdom,Canada,0.20255682959721077,0.3106318490228914,0.22539155083574974,13,79,0.00040345511395776515,0.2386498773554997,False
United Kingdom vs Australia,United Kingdom,Australia,0.3115893959597814,0.5159966159977908,0.2595020723273825,13,79,0.00031448420238070304,0.266916417251022,False
United Kingdom vs China,United Kingdom,China,0.322256375257064,0.31430597199457455,0.06751024964462807,13,79,0.00030089995651539004,0.07594903085020657,False
United States vs China,United States,China,0.4826654567133342,0.2100581865469817,0.0007220758917936757,13,79,0.00046588915572320585,0.0008963700725714594,True
China vs Indonesia,China,Indonesia,0.7820446334042394,0.4645752330439309,0.006348106375921507,13,79,0.0010924156529190864,0.0076177276511058085,True
Canada vs Australia,Canada,Australia,0.7828950646159414,0.29948620180841046,0.00025171387126353466,13,79,0.00042156093512134594,0.00036246797461948993,True
United Kingdom vs France,United Kingdom,France,0.9805199246998151,0.406221567299823,0.00048773797493426615,13,79,0.0005842228846434746,0.0006270916820583422,True
France vs Venezuela,France,Venezuela,1.2778306828313695,0.5098797969345031,0.0003585867923350964,13,79,0.0008571948810860991,0.0004781157231134619,True
China vs Venezuela,China,Venezuela,1.3873197237650552,0.3324988507699414,2.999648700835594e-06,13,79,0.0010553356078909415,6.352197248828317e-06,True
United States vs Canada,United States,Canada,1.458596345323436,0.36860428500927994,5.156314081349219e-06,13,79,0.0005743838858486714,8.839395568027232e-06,True
United Kingdom vs Japan,United Kingdom,Japan,1.5403922384930178,0.301498129070365,3.528009993920395e-07,13,79,0.000667477599215151,1.1546214525557657e-06,True
United States vs France,United States,France,1.743218860211684,0.28318105472276633,4.551407029422122e-08,13,79,0.0007294998995140937,1.638506530591964e-07,True
France vs Japan,France,Japan,1.7785600410712943,0.15927842794109226,4.8585947604685355e-11,13,79,0.0008581758996265312,7.872295657444266e-10,True
France vs Indonesia,France,Indonesia,1.8098528813093138,0.45012228418627587,4.383204708889155e-06,13,79,0.0006558699598994332,8.305019448421558e-06,True
China vs Japan,China,Japan,2.0670501705491064,0.32697869484997116,3.382089797335504e-08,13,79,0.0009348211543624134,1.638506530591964e-07,True
United Kingdom vs Venezuela,United Kingdom,Venezuela,2.307675438234156,0.6059701488682301,7.5899185200086925e-06,13,79,0.0007531636671642183,1.2419866669105133e-05,True
Australia vs Indonesia,Australia,Indonesia,2.4263249526530397,0.6103683788105589,4.922872749325676e-06,13,79,0.00044393828362116784,8.839395568027232e-06,True
United States vs Australia,United States,Australia,2.481169544151651,0.49854333569528186,4.6810408670627573e-07,13,79,0.00035020065183642387,1.2962882401096866e-06,True
United States vs Japan,United States,Japan,2.5766737154356503,0.32768618998464105,2.8499104726343965e-09,13,79,0.0010213678427320712,2.0920074755808874e-08,True
United States vs Venezuela,United States,Venezuela,2.7788204767649534,0.4464625907693429,4.0245544122314365e-08,13,79,0.0012105737995322288,1.638506530591964e-07,True
Canada vs Indonesia,Canada,Indonesia,3.0517112667307313,0.7305006842585589,2.9617153699709324e-06,13,79,0.0008119318883117683,6.352197248828317e-06,True
United Kingdom vs Indonesia,United Kingdom,Indonesia,3.5160137384936117,0.8057095711015194,1.8840434341553394e-06,13,79,0.000703740953457163,4.8446831163994435e-06,True
United States vs Indonesia,United States,Indonesia,3.5274201345524663,0.568143438665122,4.137470843224896e-08,13,79,0.0009138119983897019,1.638506530591964e-07,True
