country_1,country_2,airspace_v1,airspace_v2,airspace_v3,maritime_v1,maritime_v2,maritime_v3,proxy_v1,proxy_v2,proxy_v3,strike_v1,strike_v2,strike_v3
丙国,丁国,-1.7152462005615234,-0.28918659687042236,1.1524773240089417,1.5450553894042969,0.5508173704147339,-0.45304107666015625,-1.0518358945846558,3.0477295517921448,0.8462867736816406,-2.2147847414016724,-2.044210433959961,-1.1332780122756958
印度,俄罗斯,-0.45359790325164795,-0.15566253662109375,0.15104663372039795,0.6555439233779907,0.618789792060852,0.15202343463897705,0.11883163452148438,0.6223222017288208,0.5853232145309448,-0.027011632919311523,-0.349029541015625,-0.3182108402252197
君威,凯玛拉,-0.27750420570373535,0.1200486421585083,0.4451601505279541,0.54290771484375,0.37572479248046875,0.1363217830657959,0.040325164794921875,0.8050075769424438,0.5009194612503052,-0.033306121826171875,-0.08856534957885742,-0.34062206745147705
德国,俄罗斯,-0.3519134521484375,-0.10432815551757812,0.15615463256835938,0.52325439453125,0.5632590055465698,0.099212646484375,0.17308425903320312,0.8336296081542969,0.611419677734375,0.051891326904296875,-0.0749053955078125,-0.24673080444335938
德国,日本,-0.3923225402832031,0.07645416259765625,0.22945785522460938,0.650436282157898,0.725417971611023,0.37103271484375,0.24655532836914062,0.73248291015625,0.5256195068359375,0.08393478393554688,0.141357421875,-0.17510986328125
德国,韩国,-0.1801149845123291,0.057552337646484375,0.1699601411819458,0.48008716106414795,0.5369187593460083,0.2722742557525635,0.2534828186035156,0.5838586091995239,0.3964192867279053,0.1859203577041626,0.16335296630859375,-0.10932540893554688
日本,中国,-0.3191108703613281,0.057392001152038574,-0.016185760498046875,0.3826789855957031,0.5055389404296875,0.206695556640625,-0.0080183744430542,0.2876012325286865,0.27172863483428955,-0.15706634521484375,-0.08978271484375,-0.19465255737304688
沙特阿拉伯,伊朗,-0.30094170570373535,0.06502914428710938,0.14321541786193848,0.3878287076950073,0.41033947467803955,-0.026687264442443848,0.012351751327514648,0.4331701993942261,0.16274261474609375,-0.06277453899383545,-0.051578402519226074,-0.16283047199249268
泽姆巴拉,君威,-0.6259578466415405,0.016914725303649902,0.06812644004821777,0.7985880374908447,0.5149575471878052,0.15461695194244385,0.02804577350616455,0.4649355411529541,0.5009042024612427,-0.1412045955657959,-0.2858467102050781,-0.3892557621002197
泽姆巴拉,科图恩迪,-0.8342322111129761,-0.0530472993850708,0.06556713581085205,0.709460973739624,0.49919891357421875,0.08747482299804688,0.034496307373046875,0.3367311954498291,0.5237046480178833,-0.13674163818359375,-0.2794266939163208,-0.3470265865325928
甲国,乙国,-0.3300132751464844,0.19532036781311035,0.2736167907714844,0.5758552551269531,0.3830873966217041,0.16044247150421143,0.1385878324508667,0.9345133304595947,0.5548020601272583,0.20037841796875,0.017704010009765625,-0.22259140014648438
第一国,第二国,-1.1758822947740555,-0.6725139319896698,0.6716116964817047,1.0367794036865234,0.8676262497901917,0.5666828006505966,0.8983307033777237,0.9913424849510193,1.0497245788574219,0.5461025387048721,0.27664557099342346,-0.8744792640209198
美国,中国,-0.31562793254852295,-0.018177032470703125,-0.00225830078125,0.35594940185546875,0.47782135009765625,0.29300689697265625,0.13395297527313232,0.19580459594726562,0.31984734535217285,-0.04143869876861572,-0.05411171913146973,-0.16769027709960938
艾洛里亚,君威,-0.13797760009765625,-0.06208038330078125,0.16913604736328125,0.3616218566894531,0.31630706787109375,0.16514968872070312,0.14941024780273438,0.3363494873046875,0.2642097473144531,0.07892227172851562,0.10042190551757812,-0.08838653564453125
艾洛里亚,布列夫尼亚,-0.20351028442382812,0.05883026123046875,0.25502777099609375,0.4130744934082031,0.41214001178741455,0.2187877893447876,0.17762374877929688,0.5194168090820312,0.3223341703414917,0.15095889568328857,0.08916091918945312,-0.11986148357391357
艾洛里亚,泽姆巴拉,-0.5062367916107178,0.027813076972961426,0.21321463584899902,0.6808815002441406,0.42916905879974365,0.10777270793914795,-0.0031586885452270508,0.3452873229980469,0.3558692932128906,-0.0780792236328125,-0.13306045532226562,-0.22386574745178223
英国,印度,-0.28618621826171875,-0.035739779472351074,0.059505462646484375,0.5319709777832031,0.487640380859375,0.2768058776855469,0.13077938556671143,0.20438385009765625,0.2935140132904053,-0.032413363456726074,-0.10559844970703125,-0.1584547758102417
英国,尼日利亚,-0.11434948444366455,0.0314481258392334,0.16654956340789795,0.42845189571380615,0.4865380525588989,0.3362007141113281,0.24967193603515625,0.3445546627044678,0.39180004596710205,0.14940667152404785,0.10516369342803955,-0.03840649127960205
英国,法国,-0.6128119230270386,0.13964498043060303,0.15768826007843018,0.5835647583007812,0.29755377769470215,0.13522350788116455,-0.009116888046264648,0.26907336711883545,0.4024430513381958,-0.022968649864196777,-0.10650253295898438,-0.24122989177703857
阿尔法国,贝塔国,-0.057956695556640625,0.004856109619140625,0.12083053588867188,0.23839187622070312,0.183837890625,0.1362152099609375,0.09214401245117188,0.18253707885742188,0.1136932373046875,0.0692291259765625,0.062061309814453125,-0.051540374755859375
韩国,沙特阿拉伯,-0.12437057495117188,-0.016510009765625,0.036037445068359375,0.21603012084960938,0.16377639770507812,0.11693954467773438,0.06726455688476562,0.194549560546875,0.11108779907226562,0.07309722900390625,0.058971405029296875,-0.03398895263671875
