country_1,country_2,airspace_incursion_v1,airspace_incursion_v2,airspace_incursion_v3,airspace_incursion_v4,maritime_resource_v1,maritime_resource_v2,maritime_resource_v3,maritime_resource_v4,preemptive_strike_v1,preemptive_strike_v2,preemptive_strike_v3,preemptive_strike_v4,proxy_support_v1,proxy_support_v2,proxy_support_v3,proxy_support_v4
Aeloria,Brevnia,-0.058215522559631694,-0.021325930644710167,0.002267125835009265,0.15961424775655292,0.0017329437074656284,0.05686163012012857,0.09497658348900934,0.10519742559140749,-0.020384348615344494,0.0475199866390133,0.08831072129496409,0.1576268190559576,0.011764579608370795,0.0811161591062513,0.062047779266716674,0.1604404688024857
Aeloria,Junwei,-0.20556412925757228,-0.16991268682979221,-0.16508494568671633,0.12839768704617932,-0.1808418571073192,-0.05389850283795167,0.018914112532342875,0.09244684592207159,-0.1360273257986312,-0.07469045905338789,-0.1288835080386323,0.2172794431514219,-0.0564275558506091,0.008934736907091456,0.04825738920837891,0.14756882470064736
Aeloria,Zembala,0.027265822340069357,0.0819764406429821,-0.0016015754357422418,0.33766137594992096,0.07231974898559101,0.08002821165566093,0.11539186389880896,0.16945060623147912,0.06726167158288265,0.18373283228687065,0.014121547304800586,0.24703864256281793,0.03458050359266024,0.11419594480151002,0.05778460497613169,0.2299825412230576
Country A,Country B,0.06859338403338816,0.020848106517066756,0.15225775651130397,0.13710511036050838,0.17010969853696284,0.049358039123757136,0.16319011736226607,0.19919156930551846,0.11134259010978603,0.09707764580200579,0.13991616003010615,0.27627625235496767,-0.013941572993937446,0.0030703448135507294,0.04812977473100305,0.14876996414171473
Country X,Country Y,-0.037598996985437116,-0.09289311825533614,-0.1294825016840327,-0.03564800865964424,0.05271906970288853,0.027747536223281244,0.04582412234236588,0.060017610741646354,-0.038517836883159795,-0.037729703101641754,0.07325401912146046,0.09347961266268401,-0.031312954349985656,-0.09235323824755359,0.03899217611262895,0.05480621463055868
Germany,Japan,0.06470140445684991,0.09105143411112038,0.16180086759175394,0.22121816148805928,0.1816746163830955,0.14289041613417264,0.12864810472985316,0.16870126204983205,0.29955315036833885,0.20986201534532745,0.12239545914637523,0.1732041148688575,0.24855083674735717,0.17648535515872132,0.1270857445129983,0.33425310029027483
Germany,Russia,-0.03879113616906649,0.0946307939543729,0.22630256005288119,0.2018971513433367,0.16260536163380407,0.13212269218249834,0.21849827901282937,0.09865950238037852,0.17864092846891677,0.09509778751932485,0.09965243151593894,0.1787197561590621,0.16266676984174017,0.11654039068508315,0.3595112941357252,0.23431560155231135
Germany,South Korea,0.0023626045136513896,0.14484432491220006,0.12129349508452536,0.08288292784863138,0.0567966258030565,0.08878418933798682,0.13507700814477164,0.08269054040790097,0.11863180817850938,0.0983389966570361,0.014715912969504807,-0.07811501938637028,0.18374469632043233,0.13615051376369275,0.20949834295030417,0.0776228266593112
India,Russia,0.019222268217204463,0.054515024493491826,0.35031133192634367,0.16963805099990625,0.055368846263489646,0.09985012761643103,0.21490329530128155,-0.04470156813189585,0.22297069752102278,0.17356383339351455,0.2872015147663962,0.08292198914458071,0.1303563235705752,0.09089583827444941,0.2394077286861493,0.0017811041117569149
Japan,China,0.02575364336311947,0.03024215901171101,0.077165427620975,0.08624874722615411,0.16801020306126196,0.10058652237221705,0.1189746336905515,0.0748900845928751,0.10796690073535292,0.01945893675462479,-0.09100993838163585,0.0581708516564432,0.006072439118065098,-0.026251005632167312,0.1741478753231645,0.09732183780683595
Junwei,Khemara,0.3506501257893821,0.3924318114755628,0.21507904598244493,0.17547134202098363,0.29497194605677335,0.19589576581173263,0.08940660013400498,0.13180654940821385,0.4145631958171831,0.3484635179918733,0.2144959780579026,0.09171117806763895,0.26396787377040143,0.26383235907889735,0.10609507243116534,0.020560108622938555
Nation 1,Nation 2,0.07427554123411662,0.032096324792469155,0.015650197722878012,0.13166223226624657,0.028732022632203313,0.05636172022762714,0.06072788022805081,0.07812781171395478,0.046665367465136776,0.07028842533432827,0.014295796100125269,0.15968429880695134,-0.08757440483251044,-0.05092408171557383,-0.16206089447334138,0.03890004807463715
Saudi Arabia,Iran,-0.3153572829052629,-0.359535881909797,-0.3495831379149275,-0.43628677238823504,-0.04117270720145361,-0.2394537042595959,-0.30856931552928724,-0.33272252494643717,-0.16395817475965013,-0.19921504462091993,-0.33415154730979807,-0.4384559920304419,-0.10626656641361643,-0.19206651991344903,-0.2666726028656281,-0.31195626053724873
South Korea,Saudi Arabia,-0.1696575090076215,-0.28383335420502664,-0.12443374133573132,-0.117854851854867,-0.14390831179198194,-0.05741901505034841,-0.03691841615631536,-0.13509608467270895,-0.09555835333239093,-0.17343850047529225,-0.11874310176418557,0.14573644180276862,-0.013816073516080218,-0.05164566000681059,0.012379498136676603,0.04081888618902957
State Alpha,State Beta,0.11271735414155903,0.02628115594302116,0.14009099788869267,0.25951708736289586,0.07557971846235284,0.0955777435541792,0.11251573846294777,0.17283036753987457,0.07545738867978957,0.12764056413567615,0.1964216530287195,0.2704773736962632,0.01708162557825288,0.10554494894274069,-0.005534353971600625,0.17656146614406953
