country_1,country_2,airspace_incursion_v1,airspace_incursion_v2,airspace_incursion_v3,airspace_incursion_v4,maritime_resource_v1,maritime_resource_v2,maritime_resource_v3,maritime_resource_v4,preemptive_strike_v1,preemptive_strike_v2,preemptive_strike_v3,preemptive_strike_v4,proxy_support_v1,proxy_support_v2,proxy_support_v3,proxy_support_v4
Aeloria,Brevnia,0.004724124692977394,0.13248075817271404,-0.15479550362806027,0.12568898597961148,0.0038386394783446742,-0.040297734866816926,-0.01596182606192864,0.04409230067062081,0.10641884305658855,0.134939607372851,0.08563319328971802,0.11071750997637281,0.0003852844047637638,0.039959353732746006,-0.009599629193391301,0.13139724584389972
Aeloria,Junwei,0.1292008486802289,0.027104651371076427,0.06296494683199233,0.3368946521034946,0.19135562713679777,0.2765512781565564,0.16704924545507366,0.5364821847415179,0.1651690158307364,-0.00420354065994788,0.27952520442133094,0.301024074995214,0.3106370290002896,0.06134247527283748,0.19234103403367042,0.39387231902651487
Aeloria,Zembala,0.042271443070269143,-0.054547843275026875,0.04022427220539354,0.13164746492239265,0.05866126834775237,0.01833174624394346,0.20117560760443104,0.15059832668966955,0.12571221646946668,0.08504327014912116,0.19757035545367996,0.10625536940481167,0.1174349297032588,0.12400628046791984,0.11447912306143487,0.2053997159085813
Country A,Country B,-0.2111600905717117,-0.13919237900319809,-0.12996515179021473,0.054246040507162696,-0.19514972873975361,-0.17669913042272545,-0.031201007097223232,-0.10164680081667177,-0.14186415822308668,-0.18518585439707458,-0.06516103677405355,-0.02962722926804562,-0.20595011604864655,-0.13791935163335173,-0.16678385835336135,-0.07063337227921251
Country X,Country Y,-0.15470193637758534,-0.1040665954520299,-0.039147867567196626,-0.03845558835366403,-0.12456543197261838,-0.0954807418872623,-0.018547076738915147,-0.08294602588476224,-0.03744257649997579,-0.01389987645084867,-0.02861838676076811,0.037070445518663064,-0.11607823956039148,-0.17159752334456824,-0.10602222977772924,-0.11704388939931376
Germany,Japan,-0.01230140559458981,0.046832735805440284,0.21080712360441345,0.07248469986427991,-0.13260792312570768,-0.0789783380444044,-0.10744009866095561,0.12752423706368998,-0.033603528276196115,-0.005676566185178644,0.15989908150516752,-0.07010362726124031,-0.053590999205123335,0.0997295089256175,-0.06900923474542764,-0.03503342632957668
Germany,Russia,-0.06176192726686214,-0.07354083660899119,0.14947884256736427,0.012339427585616292,0.018515973799305974,-0.09282551482118051,-0.05345370689913698,-0.08252489728273066,-0.0007268189104066014,0.007121561769489748,-0.17353144566293605,0.1006206325458408,0.05787181198698299,0.12176705523162723,0.11042736953038984,-0.025447357149311955
Germany,South Korea,-0.24736913443889247,0.022118663223099855,-0.07885596177400495,0.11650195320438361,-0.09313407939470081,-0.14480067572871597,-0.3310060402339425,0.23752496441262666,-0.11766946587952637,-0.09808280760752353,-0.29681466151200026,0.0013598269783201,0.00020956992796228313,-0.007290591763902177,-0.17524995356540168,0.026109117234356827
India,Russia,0.21335364816947666,0.053444554006825795,0.22496058798512109,-0.0862312354680349,0.2325391274143831,0.03753792893254054,0.25092346974559243,-0.16131709544440098,0.06008911221196089,0.1837910144923467,0.17169597070721082,-0.04216721674610446,0.2058485141148821,0.15940478204433428,0.23942740855434286,0.05064038185936809
Japan,China,-0.4192311506069064,-0.20986999246599253,-0.5640945529130097,-0.14918702101016046,-0.16106140957212922,-0.24341312766888296,-0.2749954148461502,-0.1016812335665716,-0.29256292855528887,-0.3300296543680797,-0.5389298952581276,-0.2930542494116597,-0.0573743400204047,-0.10029469188289714,-0.22630516144883883,0.018127958655675847
