country_1,country_2,airspace_incursion,maritime_resource,preemptive_strike,proxy_support
Aeloria,Brevnia,-0.010684051799443095,0.006735208929070868,-0.13748893746654423,0.08370487406904203
Aeloria,Junwei,0.16514730721648307,0.10828148084422251,0.07828009796789592,0.26294440403927855
Aeloria,Zembala,0.19227920030405743,0.1496911114303381,0.11885025065985522,0.2580680501277337
Country A,Country B,-0.020270074075437794,-0.005507489193870896,0.031624357011361015,-0.014923980771912482
Country X,Country Y,-0.08020217977844546,0.04116994968040588,0.09231632524593847,-0.06340389967125093
Germany,Japan,-0.07680632374537466,0.06552707566478388,-0.011482622570146539,-0.08316008841690681
Germany,Russia,-0.24189721867364988,-0.046808996733330055,-0.08424887302437223,-0.28157535493410957
Germany,South Korea,-0.07724191268795266,0.06627222574069425,-0.021821635744443846,-0.07545880260675242
India,Russia,-0.31065503890488744,-0.08541337307347008,-0.08222245695271235,-0.31380658895156777
Japan,China,-0.14105853110794975,0.021427251248782753,-0.0055420886350618925,-0.08367549930180385
Junwei,Khemara,-0.022168435978604073,0.03261929885099901,0.032367045656009674,0.13681005609147245
Nation 1,Nation 2,-0.018823492581342638,-0.05607448210720356,-0.08268864747341076,0.0167070936509226
Saudi Arabia,Iran,-0.11172455906584589,0.16059585983816937,0.1951925913983068,-0.02801654505946627
South Korea,Saudi Arabia,-0.030528952099936557,0.1528826501819074,0.0723351167666475,0.05787050845494068
State Alpha,State Beta,0.11800830275954377,0.020355280224119143,-0.040547362378736906,0.0616982276200122
UK,France,-0.05415878015569453,0.05627223045729024,0.12629175132368986,-0.06413236618589357
UK,India,-0.17002648833260714,-0.012014812572457734,0.0635942258725013,-0.2388650863833408
UK,Nigeria,-0.1694521176166739,-0.04720155804650206,0.11394269935354995,-0.26009773895077526
USA,China,-0.0345206238807797,-0.028502410009084933,-0.12817298531470023,-0.09119263429992286
Zembala,Junwei,0.003176109088744994,0.03679297070080745,0.030347101352109496,0.16332924296185558
Zembala,Kotundi,-0.010952625255262971,0.04173704768811848,0.03943051948151033,0.16441040574435428
