country_1,country_2,airspace_def_v1,airspace_def_v2,airspace_v1,airspace_v2,airspace_v3,airspace_v4,airspace_v5,baseline,border_def_v1,border_def_v2,border_v1,border_v2,border_v3,border_v4,border_v5,cyber_def_v1,cyber_def_v2,cyber_v1,cyber_v2,cyber_v3,cyber_v4,cyber_v5,espionage_def_v1,espionage_def_v2,espionage_v1,espionage_v2,espionage_v3,espionage_v4,espionage_v5,humanitarian_def_v1,humanitarian_def_v2,humanitarian_v1,humanitarian_v2,humanitarian_v3,humanitarian_v4,humanitarian_v5,internal_affairs_def_v1,internal_affairs_v1,internal_affairs_v2,maritime_def_v1,maritime_def_v2,maritime_v1,maritime_v2,maritime_v3,maritime_v4,maritime_v5,nuclear_def_v1,nuclear_def_v2,nuclear_v1,nuclear_v2,nuclear_v3,nuclear_v4,nuclear_v5,proxy_def_v1,proxy_def_v2,proxy_v1,proxy_v2,proxy_v3,proxy_v4,proxy_v5,sovereignty_def_v1,sovereignty_v1,sovereignty_v2,strike_def_v1,strike_def_v2,strike_v1,strike_v2,strike_v3,strike_v4,strike_v5,tech_war_def_v1,tech_war_v1,tech_war_v2,trade_def_v1,trade_def_v2,trade_v1,trade_v2,trade_v3,trade_v4,trade_v5
Aeloria,Brevnia,0.30703452602028847,0.06525373458862305,0.4082155302166939,0.19527959823608398,0.20362664759159088,0.14404058456420898,0.3735985606908798,0.04234599322080612,0.29048922285437584,-0.012301445007324219,0.09016656875610352,-0.03827524185180664,0.08115005493164062,0.07573462277650833,0.06341028213500977,0.03454640135169029,0.2017531394958496,0.20789527893066406,0.061217788606882095,0.4550495073199272,0.03536270931363106,0.18362759798765182,-0.06716730445623398,-0.00289202481508255,0.2783612981438637,0.1288285255432129,-0.009511947631835938,0.024155132472515106,0.06290246546268463,0.018724441528320312,0.06384754925966263,0.09877347201108932,0.07849692553281784,0.23372174054384232,0.254366397857666,0.017588146030902863,0.3693833276629448,0.08542300015687943,0.26842547953128815,0.1860980987548828,0.15070676058530807,0.36135102063417435,0.42240381240844727,0.22980119287967682,0.42334459722042084,-0.1885723862797022,0.12183428555727005,-0.06175709515810013,0.040730006992816925,0.2285146713256836,0.022096633911132812,-0.0868053138256073,0.0036940500140190125,0.06532145291566849,0.10781048238277435,-0.07907866686582565,0.01938389241695404,-0.010422706604003906,-0.06218910217285156,-0.14101361855864525,0.012344829738140106,0.1049652025103569,0.015233516693115234,0.3495979309082031,0.19429541379213333,0.21467018127441406,0.17890214920043945,0.031304359436035156,0.11168336868286133,0.1346711963415146,0.4369349479675293,0.2778138965368271,0.4576134644448757,0.21001863479614258,0.14010095596313477,0.07985543459653854,0.21796035766601562,0.4762072488665581,0.029697418212890625,0.4102592319250107
Aeloria,Junwei,0.4219374731183052,0.22605657577514648,0.4699978902935982,0.09084892272949219,0.3070540428161621,0.16673947870731354,0.28498362749814987,-0.015898697078227997,0.2851085737347603,0.07903051376342773,0.5391197204589844,0.23968839645385742,-0.14504289627075195,0.03693198412656784,0.6025819629430771,0.00900028645992279,0.3683161735534668,0.3626260608434677,0.12267111241817474,0.5328435972332954,0.25392676889896393,0.346952922642231,0.17499114200472832,0.25833654403686523,0.3811078146100044,0.2542381249368191,0.4264540523290634,0.10966682434082031,0.14700889587402344,0.27405308932065964,0.4840502366423607,0.6507735177874565,0.21019792556762695,0.706082820892334,0.37859249114990234,0.05636833608150482,0.5382599830627441,0.01363324373960495,0.33277035504579544,0.7071385309100151,0.44902419298887253,0.4941053241491318,0.7737998813390732,0.34542369097471237,0.7101011127233505,0.02678343839943409,0.28383875638246536,-0.11186694353818893,0.40516138821840286,0.54916762560606,-0.1461048126220703,0.18500328063964844,0.27953384816646576,0.6843447647988796,0.26897290349006653,0.14826297014951706,0.25951624661684036,-0.1780691221356392,0.07858707010746002,0.037808917462825775,0.29422473907470703,0.6346235573291779,0.29624272882938385,0.4364037364721298,0.12509489059448242,0.5292339324951172,0.3304600790143013,0.3152036592364311,0.41651248931884766,0.23564814776182175,0.5337114110589027,0.37602948397397995,0.49141785502433777,0.37400245666503906,0.2429327890276909,0.1859579086303711,0.36716845631599426,0.6297197267413139,0.013951770961284637,0.3815589025616646
Aeloria,Zembala,0.660046111792326,0.43256235867738724,0.5395727083086967,0.3110809326171875,0.38454388827085495,0.39295196160674095,0.5594921186566353,0.122861348092556,0.7260737530887127,0.11914253979921341,0.39098071306943893,0.12801074981689453,0.3067140728235245,0.26552342623472214,0.27368593215942383,0.4299263507127762,0.4932994730770588,0.5485958978533745,0.47658682614564896,0.6802983433008194,0.41295430809259415,0.5448746755719185,0.18476631119847298,0.19952871650457382,0.5089320987462997,0.3871764987707138,0.17443276941776276,0.15035486221313477,0.24308395385742188,0.4329538121819496,0.6238584481179714,0.7578930780291557,0.3715977743268013,0.5675001442432404,0.4728383794426918,0.13757609575986862,0.6921310573816299,0.2642817422747612,0.5008592754602432,0.5779399946331978,0.45235490053892136,0.7070097923278809,0.769686684012413,0.5386629179120064,0.5897321775555611,0.034518688917160034,0.44332169741392136,0.05992221087217331,0.3728170245885849,0.5572085231542587,0.08998394012451172,0.1167936623096466,0.2942933961749077,0.42663194239139557,0.45493271946907043,0.16794060915708542,0.2826676145195961,0.1150217056274414,0.2311687394976616,0.05440809577703476,0.37013912945985794,0.3127617686986923,0.21399924904108047,0.6508894115686417,0.6214480400085449,0.5096983686089516,0.3509063571691513,0.2968730852007866,0.4107561334967613,0.350369431078434,0.7696042209863663,0.5077567249536514,0.42081593722105026,0.4630312994122505,0.3410787582397461,0.2942190170288086,0.5379228442907333,0.7985591925680637,0.2279224470257759,0.6000228077173233
Country A,Country B,0.3208761066198349,0.12412691116333008,0.16339493542909622,0.26490020751953125,0.09893608838319778,0.22275066375732422,0.3094782829284668,0.07694149017333984,0.2615499570965767,-0.006562717258930206,0.0031118467450141907,0.07555198669433594,0.192809097468853,0.1416478008031845,0.06762643903493881,0.11858940124511719,0.1373758316040039,0.0809488371014595,0.13060713559389114,0.12458658218383789,0.16383028030395508,0.020637035369873047,0.04984614625573158,-0.1654953956604004,0.2510833665728569,0.007798671722412109,0.0025067031383514404,0.14401770383119583,0.25224732607603073,0.1112518310546875,0.20441579818725586,0.0914163589477539,0.19269751757383347,0.194366455078125,0.44402648508548737,-0.0043959543108940125,0.10786247253417969,0.1240244060754776,0.12033843994140625,0.16585444658994675,0.029926784336566925,0.15819212794303894,0.16189147531986237,0.2610487937927246,0.28507421910762787,0.233367457985878,0.10400819033384323,0.04277374595403671,0.1663203239440918,0.2910638004541397,0.12804508209228516,-0.03686332702636719,-0.13830852508544922,0.3098254129290581,0.22765731438994408,0.10365819931030273,0.18086480349302292,0.2067852020263672,0.20556879043579102,-0.00016641616821289062,0.2507443502545357,0.1438736915588379,0.08682776242494583,0.45838500559329987,0.16672658920288086,0.006720066070556641,0.1466808095574379,0.12610148638486862,0.019876956939697266,0.09034442901611328,0.0391693040728569,-0.038094520568847656,0.0496363639831543,0.09890317916870117,0.04414844512939453,-0.006992816925048828,0.05747462809085846,0.13904285430908203,-0.1840820610523224,0.07815408706665039
Country X,Country Y,0.35634709149599075,0.23303795605897903,0.278746597468853,0.32729196548461914,0.20481538027524948,0.25269555300474167,0.32297801971435547,0.08092212677001953,0.37257957458496094,0.1566905900835991,0.11135577410459518,0.1122293621301651,0.29506444185972214,0.2590451315045357,0.13800815120339394,0.25043531879782677,0.25791453570127487,0.10915041714906693,0.31467389315366745,0.2586708068847656,0.21245861053466797,0.1707463040947914,0.0889749564230442,0.18725918978452682,0.3124857097864151,0.1855454370379448,0.20921232178807259,0.2146001085639,0.3810734748840332,0.2489452362060547,0.2452244535088539,0.28960227221250534,0.3732476606965065,0.3492932543158531,0.4966759830713272,0.13287688791751862,0.17852117121219635,0.13430117815732956,0.24666451662778854,0.2915510907769203,0.1113600879907608,0.23124932497739792,0.17732525616884232,0.23980046436190605,0.24589873105287552,0.16100170463323593,0.29027604311704636,0.1637263298034668,0.25492238998413086,0.4933147504925728,0.29094408452510834,0.0033102035522460938,0.045033954083919525,0.3450598791241646,0.23133613914251328,0.25215673446655273,0.23775339126586914,0.3894500732421875,0.22974299639463425,0.04484224319458008,0.27063797414302826,0.1245117262005806,0.046168334782123566,0.41263248026371,0.23259401321411133,0.07014323398470879,0.3039980120956898,0.19361352920532227,0.15790939331054688,0.23556041717529297,0.12680385261774063,0.16944411396980286,-0.16266249120235443,0.3604307249188423,0.20719003677368164,0.29970502108335495,0.2346944883465767,0.3271822929382324,0.06507397443056107,0.16678236424922943
Germany,Japan,-0.08622455596923828,-0.13902856409549713,-0.08339500427246094,0.0033807754516601562,-0.15124700963497162,0.0396275669336319,0.10559176653623581,0.08530904352664948,-0.060988426208496094,-0.008632659912109375,-0.1229710653424263,-0.21346279978752136,-0.20139313489198685,-0.3693985864520073,-0.142425999045372,0.02754497528076172,-0.023173797875642776,0.09235239028930664,0.14525268971920013,0.0008134692907333374,0.08687066286802292,0.13621856644749641,-0.08885714411735535,-0.01442909985780716,0.010238170623779297,-0.022041797637939453,-0.3374953120946884,-0.145504929125309,0.04840517044067383,-0.13760901242494583,-0.02357054501771927,0.12764548510313034,-0.027740024030208588,-0.13308285176753998,-0.3421926647424698,-0.24267958849668503,0.0848851203918457,-0.01805829256772995,0.015863902866840363,-0.10887478291988373,-0.09662534296512604,-0.286145206540823,-0.4031386412680149,-0.006004326045513153,0.020687103271484375,-0.22311688587069511,-0.28159140050411224,-0.4897022470831871,-0.15995120257139206,-0.2204151377081871,-0.20911549776792526,-0.5058636423200369,-0.46486328914761543,0.14213421195745468,-0.1871504858136177,-0.27469730377197266,-0.01237344741821289,-0.1697373315691948,-0.17417190968990326,-0.2880883440375328,-0.0325784869492054,-0.3943185694515705,-0.5694041438400745,-0.057455070316791534,-0.10711191594600677,-0.40215205773711205,-0.1871490478515625,-0.43300675600767136,-0.1771678924560547,-0.21071435138583183,-0.20566176995635033,-0.1110553964972496,-0.260879997164011,-0.13162421435117722,-0.4911985397338867,-0.008337512612342834,-0.18587492778897285,-0.16153906285762787,-0.43258187361061573,-0.10862018913030624
Germany,Russia,0.3173823282122612,0.4544224515557289,0.12377836555242538,0.004801765084266663,0.19052409380674362,-0.03707742691040039,0.3358154185116291,-0.05325175076723099,-0.10662509128451347,-0.07756521552801132,-0.045146942138671875,-0.23627803474664688,-0.36553477495908737,-0.4164242949336767,-0.0005335807800292969,0.33552931994199753,0.2529907077550888,0.2877988815307617,0.2249879650771618,0.39847133681178093,0.4635543916374445,-0.054620739072561264,-0.23257210105657578,0.02257106825709343,0.1748833730816841,-0.02207137644290924,-0.4745178148150444,0.21980571746826172,0.28995800763368607,0.019880294799804688,0.19176435470581055,0.21948861330747604,0.18239498138427734,0.01050473004579544,-0.16180657595396042,-0.006742469966411591,0.4919748157262802,0.1975107043981552,0.2618394047021866,-0.11307286471128464,0.30233433470129967,-0.1687793843448162,-0.14379214495420456,-0.22607804089784622,-0.0006156042218208313,0.21095320954918861,-0.17975661903619766,-0.5153002887964249,-0.23667193949222565,0.11946391314268112,0.005043506622314453,-0.35415168292820454,-0.11653662472963333,0.36902762204408646,0.06365203112363815,-0.24363377690315247,0.11434459686279297,0.3934173583984375,-0.25855543464422226,0.08378319069743156,-0.09293463826179504,-0.2682070732116699,0.07653571665287018,0.5844635888934135,0.5914855003356934,0.7414603196084499,0.07502889633178711,-0.06599331647157669,-0.08746480941772461,0.17980001121759415,0.2174296248704195,0.06333445757627487,0.36748551577329636,-0.036357879638671875,-0.3049001768231392,-0.10546493157744408,-0.03344007954001427,-0.07810736447572708,-0.25709391199052334,0.07365559041500092
Germany,South Korea,-0.07219936698675156,0.5198350101709366,0.20784951001405716,0.28291941434144974,-0.1459355428814888,0.40646887943148613,0.47420357167720795,0.06986620277166367,-0.16055681928992271,0.05905197560787201,-0.12489034980535507,-0.5144701302051544,-0.09311389178037643,-0.20859385281801224,-0.20196007937192917,0.30835529416799545,0.17212534695863724,0.3728614002466202,0.42760372161865234,0.22360751032829285,0.12984659522771835,0.30617906898260117,-0.30672455206513405,0.03749275580048561,0.2656712681055069,-0.013903133571147919,-0.33443212509155273,0.30388976633548737,0.16799402981996536,-0.02209758758544922,0.18029405921697617,0.15787745267152786,0.011541858315467834,-0.03820466995239258,0.05066729336977005,-0.05079460144042969,-0.36624763533473015,-0.3867974132299423,-0.08879807591438293,-0.00941561907529831,-0.052205562591552734,-0.23904277198016644,-0.42313720658421516,0.20407915860414505,0.13804864883422852,-0.14996003359556198,0.0019240379333496094,-0.28012706339359283,0.5524816587567329,-0.012494556605815887,-0.17533589154481888,-0.48563384637236595,-0.0949096754193306,0.2917590066790581,-0.4755058102309704,-0.07883788645267487,0.06692837923765182,0.28652000427246094,-0.12418603897094727,-0.13340852037072182,-0.021995536983013153,-0.4483022578060627,-0.5088753700256348,0.2229929193854332,-0.013286113739013672,-0.3009991943836212,0.07861708849668503,-0.15426208078861237,-0.1592693254351616,-0.03466415777802467,-0.5145082548260689,-0.27181387692689896,-0.4571819081902504,0.03798530250787735,-0.19243859499692917,0.08373118191957474,-0.2228693664073944,0.05346297472715378,-0.3237390276044607,-0.021225452423095703
India,Russia,0.36285876482725143,0.31499673426151276,0.04947090893983841,0.06842518597841263,0.11477185785770416,-0.06699420511722565,0.2089238092303276,-0.2636589929461479,0.12443972378969193,-0.13538217544555664,-0.03406142443418503,0.0279536172747612,-0.1552601009607315,-0.059608470648527145,0.22472285479307175,0.2757377624511719,0.2863187938928604,0.06950854510068893,0.24605608731508255,0.2267613336443901,0.17737337574362755,-0.4080810435116291,-0.14166882634162903,0.017939552664756775,0.2089104726910591,-0.1927681267261505,-0.08120965212583542,0.2631230279803276,0.21213625371456146,0.13112164288759232,-0.35208655148744583,-0.07202005386352539,0.1002349853515625,0.14716243743896484,-0.3169574663043022,0.1536555290222168,0.3254275470972061,0.434587012976408,-0.028655998408794403,-0.26784131675958633,0.3226356506347656,0.013984698802232742,-0.08219576627016068,-0.20315884798765182,-0.21207857877016068,0.38622570037841797,-0.0780181959271431,0.03890705108642578,-0.29392145574092865,0.3952150344848633,0.36476805061101913,0.0017557255923748016,0.11589481681585312,-0.0144047811627388,0.4509377256035805,0.001681797206401825,0.10376404970884323,0.31437160074710846,0.02587176114320755,0.2908454202115536,-0.14309504628181458,-0.26381299272179604,0.6108436621725559,0.6098384708166122,0.4119710922241211,0.5774292796850204,0.09075259417295456,-0.12024687975645065,-0.27719926834106445,0.2973966859281063,0.49244828149676323,0.21538925170898438,0.5654373168945312,-0.07970473170280457,-0.0296945720911026,0.01867867261171341,0.33058834820985794,-0.26896807923913,-0.1819748543202877,0.24076224863529205
Japan,China,0.04881427809596062,-0.06150626391172409,-0.08299874514341354,-0.17534876614809036,-0.20851944386959076,-0.17235517501831055,0.20060918852686882,-0.3194723054766655,-0.17949581891298294,-0.40932082384824753,-0.2282085418701172,-0.11581134796142578,-0.08838892728090286,-0.21163319796323776,0.02572917938232422,-0.2340669482946396,0.11139010265469551,0.1261424794793129,-0.2990307714790106,-0.11191844195127487,0.004251014441251755,-0.49346351623535156,-0.18455077707767487,-0.3658590577542782,0.10985231399536133,-0.2622847631573677,-0.48189546167850494,-0.09325790405273438,0.24102307111024857,-0.19533918052911758,0.17024612426757812,-0.16152237355709076,-0.15333985537290573,0.0702056810259819,-0.0919647216796875,-0.31145428121089935,-0.000843539834022522,-0.36545460671186447,-0.030519485473632812,-0.2755465656518936,-0.056399814784526825,-0.2915215343236923,-0.2042527198791504,-0.5249428674578667,0.054095737636089325,-0.06692790240049362,-0.6152052730321884,-0.5181727334856987,-0.5547165833413601,-0.22246216982603073,-0.18563033640384674,-0.4465937577188015,-0.34987594932317734,-0.08733320236206055,-0.13869524747133255,-0.0691370889544487,-0.10905029997229576,0.1631493642926216,-0.29001425951719284,-0.20423075929284096,-0.22971531376242638,-0.22810841724276543,-0.1212110910564661,0.19521905481815338,-0.12576578557491302,0.07545854896306992,-0.1543273776769638,-0.08404826372861862,-0.2027611806988716,-0.36896179243922234,-0.16577718779444695,-0.3429579511284828,-0.23740624636411667,-0.14034511893987656,0.017750270664691925,-0.28320980072021484,-0.22195866703987122,0.006046302616596222,-0.10435296595096588,0.015337005257606506
