country_1,country_2,airspace_incursion_v1,airspace_incursion_v2,airspace_incursion_v3,airspace_incursion_v4,maritime_resource_v1,maritime_resource_v2,maritime_resource_v3,maritime_resource_v4,preemptive_strike_v1,preemptive_strike_v2,preemptive_strike_v3,preemptive_strike_v4,proxy_support_v1,proxy_support_v2,proxy_support_v3,proxy_support_v4
Aeloria,Brevnia,0.9285158038836006,-0.07458947339551375,0.41879664511398196,0.5456284280283332,0.8350479378755931,0.30721626477441083,0.27311676589669603,0.7780933136573505,0.9455679957304522,0.12250182871423682,0.010198463058878948,0.7450987216652167,0.8061864488582096,0.40540515810359473,0.48000053028836426,0.9062928112141904
Aeloria,Junwei,0.9611451423979109,0.14859779171537574,0.34800269549522,-0.23167642672502542,0.8782495054881847,0.33033512307850693,0.44658581092245564,0.39307996687502933,0.9611993625189154,0.01782395402666853,-0.3173089339623043,0.060351134231500514,0.9272291039832055,0.17230053556813246,0.7429805307697619,0.7502527022292217
Aeloria,Zembala,0.9118576211792354,0.1552430739224102,0.4539908255218048,0.35987712032148705,0.85384697653305,0.4420553725274527,0.7481969265509333,0.6977507015342306,0.80352498003592,0.1460830724232554,0.04191196473391717,0.46742986960473626,0.7778955127242246,0.47637292988994945,0.7020333513927737,0.763410465014321
Country A,Country B,-0.1440418603165874,-0.5907840276502605,-0.02479402597315833,-0.11320070328674264,-0.133292736593432,-0.4095123750200668,-0.23026782299270204,-0.12715998455124178,-0.22390291600118412,-0.5687529474102306,-0.2326188581821202,-0.24699979750946355,-0.19804262422700697,-0.49190379229728626,-0.1679279669071036,-0.17649551881150566
Country X,Country Y,-0.3243838723983597,-0.3571259487585645,-0.2479351354605922,-0.2590301613802418,-0.017452136756151537,-0.3433629635584154,-0.21960718834027332,-0.29876806918383747,-0.03216514918457247,-0.42355367595254223,-0.2974300248713737,-0.2248089438008518,-0.01042017622047653,-0.46632215175389885,-0.2201777042313786,0.019266485932278088
Germany,Japan,0.1559863748138572,-0.19090212397614204,-0.020117667638541115,0.3798318587864866,0.09743968047543788,0.25340965541248694,0.2254787945509249,0.2982117736004962,-0.06039585293488675,0.2250286059251601,-0.07317243163450787,0.15213573362263338,-0.04116365521239668,0.04088267573913801,0.23724343285326488,0.11101031014275953
Germany,Russia,0.11513896180713523,-0.0716754422046339,-0.13542376398268702,-0.06559262914371317,-0.06895110013587802,-0.038760552885468036,0.21665102102213063,0.23680192115526832,-0.015852970829472623,0.049675201910682754,-0.16087015897950652,-0.024163548449408656,-0.005459015976936987,0.0411387529101887,0.2425158626645904,0.333590284903102
Germany,South Korea,0.4680890533090167,-0.09227251213648663,0.4819367806246649,-0.08240306509298467,0.0498063867330964,-0.15340373383905143,-0.023132607415932982,-0.31481483475600636,0.21338886370259275,-0.3467222533642588,-0.3393079485607205,-0.2340352663911669,0.07773865058068335,-0.3424888191313481,-0.0076394830060457775,-0.3171857347007318
India,Russia,0.46744420496467415,-0.02667016472731426,-0.04017454556206285,-0.2599025197322593,0.22826438622405898,-0.10643675762772364,-0.03411269772099684,-0.03863496798211691,0.286190557922581,-0.08176285071374045,0.0276581122553185,-0.13762618128303467,0.4037429217216058,-0.14451530823129743,0.07777864044999278,0.21627549510139232
Japan,China,0.19953367382274423,0.38898718017241957,0.3299440342511987,0.07564524948686335,0.08471449258757802,-0.33431949204741956,0.033651158071346776,0.09046655609144749,0.26925305270442884,-0.09451253270584553,-0.016047858224557343,0.04766651981504255,0.17749590545189042,0.032859769360813695,0.1255240220734129,0.07488854356357932
Junwei,Khemara,-0.9018752427045479,0.09667471729379579,0.19662714016512178,0.08088225063776067,-0.6681980917359138,-0.01040635689214614,-0.07777711491512473,0.14152880921665673,-0.9394106677388592,0.2920149626000747,0.25764838453040095,0.3549758654004005,-0.8301542033086573,-0.002476567927147566,-0.456482475521375,-0.38895528535625634
Nation 1,Nation 2,0.40498268992366326,0.24754394413386827,0.35331636998841354,0.45058641580495795,0.4293311628233701,-0.09963354740501851,0.43361663024920305,0.48110902928979415,0.4625401571982413,-0.02429078551881242,0.38547316790635877,0.19058835108641026,0.37134347365793663,0.3761045668718781,0.24861704772845605,0.5029678703834146
Saudi Arabia,Iran,-0.21394933607532907,0.1397507990907294,0.06922848105264934,0.09555658890350749,-0.2668668363831593,0.029995158113857945,0.04787193933977796,0.0956594710836392,-0.2946030532720052,0.28413507722565284,-0.05514468173262693,-0.06630382455594663,-0.33516029922267004,0.08704903964292615,-0.23183389755426598,-0.02329059376802811
South Korea,Saudi Arabia,0.3692064394981005,0.05593187351813089,-0.14858518680386285,-0.037386864650669815,0.23980616201152705,-0.12194463059477428,0.009645386422233948,0.3119983212942417,0.2810682780525661,0.11130867596966043,0.1561098922335888,0.49219146555043664,0.049567843275261425,0.12057275387506056,0.1467789087288071,0.09406453942340964
State Alpha,State Beta,-0.02612279461598188,-0.3669823765323456,0.5195277065084167,0.36800573518896146,0.2772307863780829,-0.3244521416312864,0.27945422449276186,0.3678918460784517,-0.06255078991430518,-0.21828520229655157,0.3893601977392851,0.3216344047713307,-0.01739363765936247,-0.2314902591815473,0.11214674410765996,0.4729405090307869
UK,France,-0.2239023569130349,-0.39778865258125035,-0.14185896016749017,-0.5966268096426507,-0.46078415891885066,-0.654127496530529,-0.14050278975814384,-0.573589862198506,-0.3097635933351848,-0.5595079227817514,-0.19063200478303738,-0.685389611200919,-0.42817273539772055,-0.34421917795699164,-0.019400188761100834,-0.5507003105435926
UK,India,-0.3367394066997274,-0.23507845456335358,-0.21863257383287693,-0.4345478123680387,-0.47737940777804844,-0.32048575002195423,0.15855760960491277,-0.4886818328829848,-0.39507418368930325,-0.268143156404377,0.14981286728356752,-0.44176409430143404,-0.5272126256019432,0.06279040941794567,0.38460241094166203,-0.49832353495151116
UK,Nigeria,-0.0837539732572431,-0.5311806327062147,-0.06546781884902214,-0.6579775318105751,-0.5845827742562084,-0.5857650211669105,-0.4993909659990856,-0.7336861079469013,-0.4052966571975807,-0.3825232243517027,-0.019891260628872864,-0.5979822574319493,-0.5439677986459808,-0.39996846375657424,0.2941702488463268,-0.5910783146778402
USA,China,-0.2513760307192449,-0.38847619454428695,-0.5553172666932993,-0.6248904830040378,-0.4385056292497653,-0.6392657568411957,-0.4053285374503539,-0.3474569232806064,-0.029660880020350777,-0.32984277827051844,-0.13418743944509992,-0.42507664437412035,-0.3256077733364416,-0.3901014706988599,-0.2873445726191927,-0.39583517271039675
Zembala,Junwei,0.5894658571131681,0.4633535243170445,-0.5125961364817224,-0.5207559251504286,0.46071976557655964,0.09482503019006866,-0.2853956778117441,-0.14984430211623984,0.7165071336912567,-0.299866156013211,-0.4885627716877452,-0.36988679063414676,0.5355849631243361,0.012493556332280609,0.30605990460918664,-0.001418112757866019
Zembala,Kotundi,0.16231381867264233,0.022147907319914395,-0.3406832701654557,0.042966122789477756,-0.12328670697694971,-0.30557353838023427,-0.14043492499068821,-0.15574467596131436,0.5166141710961845,-0.4553336118376283,-0.15404888829336633,-0.27410646235624386,0.2916145905371675,-0.18175011304084526,0.05624776465798065,-0.1979631865804572
