country,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Venezuela,3.6886799496421636,0.4462906367385501,1.607241532786292e-09,13,3.214483065572584e-09,True
Indonesia,3.250293323470933,0.24542151171673196,6.523655296540861e-12,13,2.6094621186163445e-11,True
France,1.6673381505743612,0.2644195300959943,3.47944139486802e-08,13,5.567106231788832e-08,True
Japan,-0.22031679507764076,0.10690498472093961,0.0016415631378601395,13,0.0016415631378601395,True
China,-0.8666703411573393,0.20942156233743434,3.263180001256952e-06,13,4.350906668342602e-06,True
America,-1.4918471602854586,0.3663895648000614,3.8543345396415535e-06,13,4.404953759590347e-06,True
Canada,-2.2322133753949718,0.21531438431266411,1.1588994589773829e-10,13,3.090398557273021e-10,True
Australia,-3.7952637517720476,0.21425946594274375,2.0784161821640916e-13,13,1.6627329457312733e-12,True
