pair,country_1,country_2,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Venezuela vs Indonesia,Venezuela,Indonesia,-0.36446886861717304,0.225350170363118,0.008069693181132431,13,79,0.017380877620900622,True
France vs Australia,France,Australia,-0.341789719249521,0.16040889476591627,0.0012850560284138756,13,79,0.003598156879558852,True
Venezuela vs Australia,Venezuela,Australia,-0.28683035711556565,0.23843773824550518,0.03619610485522842,13,79,0.056305051997021995,False
Japan vs Indonesia,Japan,Indonesia,-0.2202953270503453,0.06711490661791812,3.238524623902572e-05,13,79,0.0002965119131352326,True
China vs Indonesia,China,Indonesia,-0.18757154036572565,0.1422244580488168,0.023879934980575782,13,79,0.04178988621600762,True
China vs Australia,China,Australia,-0.16487809319745053,0.12411165459074094,0.023064071701173812,13,79,0.04178988621600762,True
Japan vs Australia,Japan,Australia,-0.1325692579204783,0.11681686814988872,0.046080843499906037,13,79,0.06790861147354574,False
Japan vs Canada,Japan,Canada,-0.11866128395546924,0.08236204866131668,0.015350578532876006,13,79,0.03070115706575201,True
Venezuela vs Canada,Venezuela,Canada,-0.0635946043135919,0.15801879076044725,0.4455329577119833,13,79,0.4989969126374213,False
America vs France,America,France,-0.06305803429512749,0.18004179042724375,0.5054638911207312,13,79,0.544345728899249,False
America vs Canada,America,Canada,-0.01101762973345243,0.11810752454141588,0.8579777309514385,13,79,0.8579777309514385,False
America vs Australia,America,Australia,0.03200835652731277,0.10029255795522925,0.5433344195957683,13,79,0.5634579166178338,False
France vs Indonesia,France,Indonesia,0.05671932196224128,0.10566234958300476,0.31346859344307004,13,79,0.3715099273475009,False
Australia vs Indonesia,Australia,Indonesia,0.07580700456659435,0.14274256679797226,0.3184370805835722,13,79,0.3715099273475009,False
France vs China,France,China,0.10455300033965827,0.10729280346031375,0.08032835211431519,13,79,0.10710446948575358,False
America vs Venezuela,America,Venezuela,0.10508242249488832,0.14933530522912664,0.1929991126167606,13,79,0.2456352342395135,False
China vs Canada,China,Canada,0.1251144717846598,0.10329718200963209,0.03514658902620484,13,79,0.056305051997021995,False
Canada vs Indonesia,Canada,Indonesia,0.1682763829172313,0.16313597236251093,0.06607998842459215,13,79,0.092511983794429,False
America vs China,America,China,0.1924650883063292,0.08678822623218183,0.0009505509553532916,13,79,0.002957269638876907,True
America vs Indonesia,America,Indonesia,0.19587053631469878,0.1205921111877792,0.007869745126272056,13,79,0.017380877620900622,True
France vs Canada,France,Canada,0.19810267747976842,0.11702712294690096,0.006134283335027122,13,79,0.015614539398250858,True
France vs Japan,France,Japan,0.20957818103360606,0.06800833628699804,5.8469146363226774e-05,13,79,0.0003274272196340699,True
Canada vs Australia,Canada,Australia,0.21053685930185703,0.09446616440625714,0.0009149897334731547,13,79,0.002957269638876907,True
China vs Japan,China,Japan,0.35050366008347206,0.11994208627650545,9.490712353357411e-05,13,79,0.00044289990982334586,True
America vs Japan,America,Japan,0.5109174676212198,0.1322588565153671,6.575580207160315e-06,13,79,9.20581229002444e-05,True
Japan vs Venezuela,Japan,Venezuela,0.5180431594014604,0.1623827126458071,4.2358844733604657e-05,13,79,0.0002965119131352326,True
France vs Venezuela,France,Venezuela,0.5397350022589767,0.19384213090538066,0.00014590610752144187,13,79,0.0005836244300857675,True
China vs Venezuela,China,Venezuela,0.7450492143521815,0.13503117298994816,1.52711531706428e-07,13,79,4.275922887779984e-06,True
