pair,country_1,country_2,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Japan,China,Japan,-1.4547561647254468,0.1634893474249856,6.856097521546126e-10,13,79,9.518884166429654e-09,True
China vs Indonesia,China,Indonesia,-1.4058529217164595,0.23228761652196545,5.498842972621638e-08,13,79,1.5396760323340587e-07,True
China vs Venezuela,China,Venezuela,-1.0836838881174722,0.1662494253849707,2.398356566659453e-08,13,79,8.394247983308085e-08,True
Canada vs Indonesia,Canada,Indonesia,-1.0366443666346346,0.3652503421292795,0.00012322507247473902,13,79,0.0002300201352861795,True
America vs France,America,France,-0.7410141919558739,0.15613041084996251,7.777676906570735e-07,13,79,1.814791278199838e-06,True
Australia vs Indonesia,Australia,Indonesia,-0.7009000236734804,0.30518418940527947,0.0007248511613371262,13,79,0.001127546250968863,True
Canada vs Australia,Canada,Australia,-0.5773022292734503,0.14974310090420523,6.709436415415621e-06,13,79,1.3418872830831241e-05,True
America vs Indonesia,America,Indonesia,-0.39386590496524343,0.22780735811092984,0.00538063954313298,13,79,0.007532895360386172,True
Japan vs Indonesia,Japan,Indonesia,-0.35426681556981127,0.19610224514666966,0.004064683537843863,13,79,0.005990059950506745,True
Venezuela vs Australia,Venezuela,Australia,-0.3148895467157329,0.3139843150414502,0.07290961992362506,13,79,0.09279406172097734,False
Japan vs Venezuela,Japan,Venezuela,-0.10493216322455215,0.24160355410083398,0.41129136780929276,13,79,0.4606463319464079,False
China vs Australia,China,Australia,-0.06539750011849316,0.23939619704005977,0.6021369476322302,13,79,0.6244383160630536,False
America vs Venezuela,America,Venezuela,0.01080299122429593,0.23240568879701912,0.9289104721252236,13,79,0.9289104721252236,False
France vs Indonesia,France,Indonesia,0.10414519065465683,0.22506114209313793,0.3822723978003002,13,79,0.4606463319464079,False
America vs Australia,America,Australia,0.10765081927889869,0.24237856905459174,0.40109508990450804,13,79,0.4606463319464079,False
Venezuela vs Indonesia,Venezuela,Indonesia,0.12522534704033708,0.41241883951372793,0.5628132760975703,13,79,0.6061066050281526,False
Venezuela vs Canada,Venezuela,Canada,0.2952438134413499,0.22987997149565048,0.027042728556186297,13,79,0.036056971408248394,True
America vs Japan,America,Japan,0.4287002064806201,0.15681536509055663,0.00017130252834453636,13,79,0.0002875218646136723,True
France vs Japan,France,Japan,0.5494362705356471,0.07963921397054613,1.2647239498381897e-08,13,79,5.902045099244886e-08,True
China vs Canada,China,Canada,0.5538576256224524,0.20303711322278845,0.00017456684637258676,13,79,0.0002875218646136723,True
Japan vs Australia,Japan,Australia,0.7771577232486598,0.18608381446948397,2.9703191467146044e-06,13,79,6.397610469846841e-06,True
America vs China,America,China,0.8772536241091214,0.13829459762085702,3.2547959686915356e-08,13,79,1.0126031902595889e-07,True
Japan vs Canada,Japan,Canada,0.9912574120930261,0.11529275964490047,1.0198804464031773e-09,13,79,9.518884166429654e-09,True
France vs Canada,France,Canada,1.1265167216241578,0.16904697601909455,1.8708230230504196e-08,13,79,7.483292092201678e-08,True
France vs Australia,France,Australia,1.1672246927743428,0.20165285128217203,9.014746945819478e-08,13,79,2.2946628589358672e-07,True
France vs China,France,China,1.318466679517166,0.14559742260988986,5.595875642900581e-10,13,79,9.518884166429654e-09,True
America vs Canada,America,Canada,1.3324533945474868,0.18069433183519537,5.9381555029291896e-09,13,79,3.901265025690294e-08,True
France vs Venezuela,France,Venezuela,1.8537588529971056,0.25493989846725157,6.9665446887326685e-09,13,79,3.901265025690294e-08,True
