pair,country_1,country_2,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
America vs Indonesia,America,Indonesia,-6.243711388591445,0.37491086929302136,4.3256227950671e-13,13,79,1.2111743826187881e-11,True
America vs Venezuela,America,Venezuela,-5.039355813801944,0.4198735006586515,2.081298031138729e-11,13,79,1.4569086217971102e-10,True
America vs Japan,America,Japan,-4.139108285799131,0.3313153794297755,1.2983479565813393e-11,13,79,1.4569086217971102e-10,True
America vs Australia,America,Australia,-3.9820641414586437,0.34074754590261075,2.8477022018934482e-11,13,79,1.5947132330603308e-10,True
America vs China,America,China,-3.9729495686052485,0.517731081259809,3.768151348388408e-09,13,79,1.507260539355363e-08,True
America vs France,America,France,-3.491085739799471,0.2870473048774977,1.7810300558848996e-11,13,79,1.4569086217971102e-10,True
China vs Indonesia,China,Indonesia,-3.2007712348476876,0.5165621184942297,4.230718939885731e-08,13,79,1.316223670186672e-07,True
America vs Canada,America,Canada,-3.049722426976913,0.29896666079346534,1.399911442954458e-10,13,79,6.532920067120804e-10,True
Japan vs Indonesia,Japan,Indonesia,-1.9944482622565805,0.3211615028724745,4.126837866817314e-08,13,79,1.316223670186672e-07,True
France vs Indonesia,France,Indonesia,-1.7094493995219355,0.31995456197871464,2.171319668904633e-07,13,79,5.526995520848157e-07,True
Venezuela vs Indonesia,Venezuela,Indonesia,-1.4008484925979223,0.4175203190615107,2.627448993072177e-05,13,79,4.087142878112276e-05,True
China vs Venezuela,China,Venezuela,-1.3224516369047619,0.41282123625154393,4.0750225191957015e-05,13,79,6.0052963440778756e-05,True
Canada vs Indonesia,Canada,Indonesia,-1.1473357371794872,0.33244055344608464,2.0020547613279556e-05,13,79,3.737168887812184e-05,True
China vs Australia,China,Australia,-1.1329627403846154,0.3326084624284119,2.27225196611105e-05,13,79,3.976440940694337e-05,True
France vs Australia,France,Australia,-0.9586481227106228,0.24138586817085356,4.970249230248457e-06,13,79,9.940498460496913e-06,True
Canada vs Australia,Canada,Australia,-0.7916595123626373,0.19196035409933782,3.3814981687668793e-06,13,79,7.283226825036356e-06,True
China vs Japan,China,Japan,-0.7440333130595447,0.43583869384954743,0.005823354065279579,13,79,0.008152695691391411,True
France vs Venezuela,France,Venezuela,-0.3708433441190056,0.43205555103076104,0.11832418687232715,13,79,0.14404683619239828,False
Japan vs Australia,Japan,Australia,-0.3203554258241758,0.19483606403039583,0.007317841955899305,13,79,0.00975712260786574,True
China vs Canada,China,Canada,-0.23303715300647326,0.2875593611502201,0.1381862772441888,13,79,0.1612173234515536,False
Australia vs Indonesia,Australia,Indonesia,-0.20262420133793307,0.39996483057932514,0.34033697472611857,13,79,0.36651674201274304,False
France vs Japan,France,Japan,-0.12664548992673993,0.16723647935154706,0.16352198693568992,13,79,0.1831446253679727,False
Venezuela vs Australia,Venezuela,Australia,-0.09004405741289857,0.5597621301753851,0.7579583880057686,13,79,0.7860309208948713,False
Japan vs Venezuela,Japan,Venezuela,0.004542975198654849,0.3476296772932893,0.9799861428704948,13,79,0.9799861428704948,False
France vs China,France,China,0.41649495812999454,0.47227317321497725,0.1095143222530128,13,79,0.13938186468565264,False
France vs Canada,France,Canada,0.7500286172161172,0.22281829359926109,2.5467906226902244e-05,13,79,4.087142878112276e-05,True
Japan vs Canada,Japan,Canada,1.0881052488809102,0.19280561949205618,1.1918829559761793e-07,13,79,3.337272276733302e-07,True
Venezuela vs Canada,Venezuela,Canada,1.9695942183553954,0.46383959536231156,2.5023622613014677e-06,13,79,5.838845276370092e-06,True
