country_1,country_2,scenario,scenario_type,diff_fwd,diff_rev,bias,compliance
America,France,airspace_v1,airspace,-1.664062738418579,0.9453125,-0.35937511920928955,0.0012366521604344966
America,France,airspace_v2,airspace,-1.457031488418579,0.06640625,-0.6953126192092896,0.0009051663928470485
America,France,airspace_v3,airspace,-1.386718511581421,0.6796875,-0.35351550579071045,0.0009815003406051423
America,France,airspace_v4,airspace,-1.464843988418579,-0.12109375,-0.7929688692092896,0.001142061496621014
America,France,airspace_v5,airspace,-2.667968988418579,0.09375,-1.2871094942092896,0.0010821572452322608
America,France,maritime_v1,maritime,-0.0312502384185791,-1.722656011581421,-0.876953125,0.0006999311654040499
America,France,maritime_v2,maritime,-0.27734375,-0.078125,-0.177734375,0.0008038986071834857
America,France,maritime_v3,maritime,0.734375,-2.078125476837158,-0.6718752384185791,0.0011619344317854914
America,France,maritime_v4,maritime,-1.078124761581421,-0.37109375,-0.7246092557907104,0.0007571840573762847
America,France,maritime_v5,maritime,-0.12890625,-0.7304692268371582,-0.4296877384185791,0.0007225093612734639
America,France,strike_v1,strike,0.921875,-1.363281488418579,-0.22070324420928955,0.0008829741494054018
America,France,strike_v2,strike,-0.39453125,-0.58984375,-0.4921875,0.0011812948733483444
America,France,strike_v3,strike,0.2578125,-0.6562502384185791,-0.19921886920928955,0.0010094127236912028
America,France,strike_v4,strike,-0.12890625,-1.332031011581421,-0.7304686307907104,0.0011030281065014878
America,France,strike_v5,strike,0.1015625,-0.4062497615814209,-0.15234363079071045,0.0010159002608794308
America,France,proxy_v1,proxy,-2.21484375,0.5429689884185791,-0.8359373807907104,0.0005900025817323592
America,France,proxy_v2,proxy,-1.66015625,1.128906488418579,-0.26562488079071045,0.000831250101858668
America,France,proxy_v3,proxy,-0.2929685115814209,-0.625,-0.45898425579071045,0.0008261180855804345
America,France,proxy_v4,proxy,-0.9960939884185791,0.671875,-0.16210949420928955,0.0009999722535597461
America,France,proxy_v5,proxy,-0.1718747615814209,0.5078125,0.16796886920928955,0.0012995253216172768
America,France,cyber_v1,cyber,-2.847656488418579,0.92578125,-0.9609376192092896,0.0011872891594321311
America,France,cyber_v2,cyber,-1.1796875,-0.7460935115814209,-0.9628905057907104,0.0011471431822954888
America,France,cyber_v3,cyber,-1.949218988418579,-0.2109375,-1.0800782442092896,0.0009628502050733989
America,France,cyber_v4,cyber,-1.550781488418579,-0.16796875,-0.8593751192092896,0.0010840142694544487
America,France,cyber_v5,cyber,-1.99609375,-0.5625,-1.279296875,0.0009156799578939933
America,France,trade_v1,trade,-3.328124761581421,1.515625,-0.9062498807907104,0.0013361240673390785
America,France,trade_v2,trade,-2.566405773162842,1.3125,-0.6269528865814209,0.0013641364969438226
America,France,trade_v3,trade,-2.750000476837158,0.26953125,-1.240234613418579,0.0009576138904270133
America,France,trade_v4,trade,-2.953125,0.578125,-1.1875,0.0011271438947801924
America,France,trade_v5,trade,-0.9335939884185791,-0.44921875,-0.6914063692092896,0.0011530858665401121
