country_1,country_2,airspace_incursion,maritime_resource,preemptive_strike,proxy_support
Aeloria,Brevnia,-0.17636973291757763,-0.06663881683810202,0.049567513112067196,-0.18672149478950595
Aeloria,Junwei,-0.0011785279424445516,0.034654656278142015,0.2640392919947101,-0.00555492625008025
Aeloria,Zembala,0.026863384710180016,0.07667882979819352,0.30166313893598495,-0.009760015513377462
Germany,Japan,-0.2400413445858538,-0.008431074418709716,0.17895572668490312,-0.34401460876579804
Germany,Russia,-0.3915756685540337,-0.12018431505374039,0.10722624476838627,-0.5102729292526845
Germany,South Korea,-0.2404029778726804,-0.007676128847324826,0.16925277241655245,-0.3364042758165797
India,Russia,-0.45348527554153406,-0.15832386898093953,0.1095433547224991,-0.5348237821792968
Japan,China,-0.29976475970795935,-0.05217230994660382,0.18498872297888558,-0.3442365472176683
Junwei,Khemara,-0.18777197554479252,-0.04136946811992526,0.22138553893798463,-0.1365820246904419
Saudi Arabia,Iran,-0.2728706306759746,0.08796086574934758,0.37023736413604746,-0.2901086652106719
South Korea,Saudi Arabia,-0.19533724996261703,0.07987416257818358,0.25850346171748395,-0.21398659904267037
UK,France,-0.21836040658435873,-0.017492964507785702,0.3083761258795241,-0.3267676203658447
UK,India,-0.3269253235348446,-0.0857267402179489,0.2502127836558268,-0.4752350954821234
UK,Nigeria,-0.32531911457581597,-0.12024188093780075,0.29782300285526575,-0.49019678914642406
USA,China,-0.1985679058317833,-0.10169389717010535,0.05777307210120464,-0.3476133610763026
Zembala,Junwei,-0.16307203087668953,-0.037226694737164445,0.21936494103578497,-0.11001634472205168
Zembala,Kotundi,-0.17675828158204265,-0.03228433755793225,0.2276856146094115,-0.10764460360853545
