pair,country_1,country_2,mean_bias,std,ci95,p_value,n_clusters,n_scenarios,consistency,plausibility,compliance,p_adjusted,significant
Venezuela vs Australia,Venezuela,Australia,-1.2778180497033256,0.4026105107788219,0.24954057990103035,3.4712166959520794e-06,10,70,0.014285714285714285,-1.3992073942385364,0.09408714802529931,1.2496380105427485e-05,True
Venezuela vs Canada,Venezuela,Canada,-0.8370675135936055,0.2833762790851743,0.1756384374474466,6.291735387944869e-06,10,70,0.07142857142857142,-0.71502824451475,0.09786117364034302,1.618875429178098e-05,True
Venezuela vs Indonesia,Venezuela,Indonesia,-0.8168666886964016,0.2556162681545123,0.15843260441468232,3.278396246282886e-06,10,70,0.07142857142857142,-0.6814349233364088,0.08809884039246474,1.2496380105427485e-05,True
United Kingdom vs China,United Kingdom,China,-0.6137573293510027,0.10408342876047767,0.06451157750634516,1.682390453659754e-08,10,70,0.02857142857142857,3.922613568408581,0.05435161696757206,6.056605633175114e-07,True
France vs Canada,France,Canada,-0.47731587642005513,0.08775012258970369,0.05438808945912149,3.41664652391845e-08,10,70,0.22857142857142856,0.20282790489145555,0.0629580061614543,6.14996374305321e-07,True
France vs China,France,China,-0.41270926349929404,0.0862607683246841,0.0534649781219333,1.0467898037754617e-07,10,70,0.014285714285714285,1.3753959384865344,0.07120370080085518,1.256147764530554e-06,True
United Kingdom vs Canada,United Kingdom,Canada,-0.34944041133941417,0.10841895212446205,0.06719876272744207,3.0531871716796105e-06,10,70,0.014285714285714285,2.2671230620858425,0.03904708120854725,1.2496380105427485e-05,True
United States vs China,United States,China,-0.30545742918703966,0.12442701044682931,0.07712066006967899,2.8119998977966084e-05,10,70,0.014285714285714285,5.22621230440314,0.06352886052031963,5.623999795593216e-05,True
France vs Australia,France,Australia,-0.2677594789436885,0.19121876492484427,0.11851861839125748,0.0016517682019726151,10,70,0.11428571428571428,-0.0650175293112365,0.07124437792792772,0.0025853763161310496,True
France vs Japan,France,Japan,-0.20733816719480921,0.07217938328887505,0.04473724525463152,7.914365732911911e-06,10,70,0.0,-0.24773908223162705,0.08235691651543767,1.78073228990518e-05,True
Japan vs Canada,Japan,Canada,-0.19380580122981755,0.10895910420523115,0.06753355245563154,0.0003238613272996685,10,70,0.014285714285714285,0.53907331709592,0.05066005170500941,0.0005551908467994317,True
United Kingdom vs Japan,United Kingdom,Japan,-0.19194430574841262,0.17396789914007052,0.10782642100326588,0.006840466371027466,10,70,0.04285714285714286,1.8187902221306493,0.049346097586279086,0.00879488533417817,True
United Kingdom vs Australia,United Kingdom,Australia,-0.08356608596430824,0.1619201702062728,0.10035916124689578,0.13710769861546152,10,70,0.014285714285714285,2.137701456676275,0.05062493950496157,0.15922184355343919,False
United Kingdom vs Venezuela,United Kingdom,Venezuela,-0.08024791274677098,0.19744452313547003,0.12237738330824353,0.23079082640675652,10,70,0.02857142857142857,3.049888372071395,0.11501876203155743,0.2596396797076011,False
United Kingdom vs Indonesia,United Kingdom,Indonesia,-0.07082286238645404,0.1787197949810629,0.11077167655930366,0.2417305954682917,10,70,0.0,2.225651781259304,0.05700985535283702,0.26370610414722734,False
France vs Indonesia,France,Indonesia,-0.008440287624086643,0.223127091160977,0.13829560388831535,0.9074115740746713,10,70,0.0,1.0816437575872573,0.06672449458186748,0.9074115740746713,False
United States vs Japan,United States,Japan,0.015171034084466689,0.15820130935634416,0.09805418741184296,0.7685899673442043,10,70,0.0,3.313484518680863,0.06147057772075299,0.7905496806968958,False
Japan vs Australia,Japan,Australia,0.03366356438824109,0.1443229847540766,0.08945231270518104,0.4795421794225081,10,70,0.02857142857142857,0.39572498478446505,0.05886278852600648,0.5077505429179497,False
United States vs Canada,United States,Canada,0.13056694884851044,0.1420919713797062,0.08806951628953259,0.017430385997680757,10,70,0.014285714285714285,3.9074673020070936,0.04103956269791279,0.02091646319721691,True
United States vs Indonesia,United States,Indonesia,0.1503621437778098,0.114075054075183,0.07070445103655239,0.002418098300436431,10,70,0.02857142857142857,3.9538849932754863,0.07874357159077165,0.00348206155262846,True
Australia vs Indonesia,Australia,Indonesia,0.1625140086880752,0.1416334101451097,0.08778529709172778,0.005498597475765091,10,70,0.014285714285714285,0.5446645000392372,0.0752864251567995,0.007331463301020121,True
United Kingdom vs France,United Kingdom,France,0.18300059412057243,0.17211279609462474,0.10667661622335287,0.008358269024528256,10,70,0.02857142857142857,2.3175258079030234,0.08034945546358503,0.010375782237345421,True
United States vs Venezuela,United States,Venezuela,0.21105437470915991,0.1505422836537488,0.09330707409976031,0.0016390957373459392,10,70,0.04285714285714286,4.3902891760750204,0.12265512473285935,0.0025853763161310496,True
Japan vs Indonesia,Japan,Indonesia,0.24354068221790448,0.17952517211353378,0.11127085447765218,0.002020398089650148,10,70,0.0,0.9895859445673912,0.08445786608205721,0.003030597134475222,True
Canada vs Australia,Canada,Australia,0.2623186421181475,0.12655879445162563,0.07844195348487464,0.00010463014303374978,10,70,0.08571428571428572,-0.26625923012647296,0.04366987810845936,0.00019824658680078904,True
