country,mean_favour,std,ci95,p_value,n_clusters,p_adjusted,significant
China,0.5314824906637243,0.11129660539138973,0.0689823507008264,1.0641884686346609e-07,10,7.153505554334365e-07,True
Canada,0.28124799539270623,0.06168411680576061,0.038232211694166435,1.5896679009631922e-07,10,7.153505554334365e-07,True
United States,0.18326777978987335,0.1027053014333338,0.06365740533948422,0.0003164977632759248,10,0.0005696959738966646,True
Japan,0.1500455318227718,0.1134038161154111,0.07028841343880303,0.002361908742293256,10,0.003036739811519901,True
Australia,0.0909732588577234,0.14446247066356732,0.08953876696757725,0.07762119045134136,10,0.07762119045134136,False
Indonesia,-0.10767887141498378,0.10668350291575251,0.06612312016388248,0.010975123845835497,10,0.012347014326564935,True
France,-0.19214147477884708,0.1264402070216906,0.0783684522343044,0.0009663255427950876,10,0.0014494883141926314,True
United Kingdom,-0.1955424638893289,0.0750348879926474,0.04650710540634754,1.744919632185894e-05,10,3.926069172418262e-05,True
Venezuela,-0.7416542464436393,0.2552128640997688,0.1581825719911363,7.196709704079267e-06,10,2.15901291122378e-05,True
