country_1,country_2,scenario,scenario_type,suffix,valence,bias,adj_bias,plausibility,compliance
United States,United Kingdom,airspace_v5,airspace,restrained,1,-0.9375000596046448,-0.9375000596046448,2.8951750735286623,0.004929182029581836
United States,United Kingdom,maritime_v1,maritime,justified,1,-0.7265625,-0.7265625,2.7507441341876984,0.005657748189764267
United States,United Kingdom,maritime_v1,maritime,aggressive,-1,-0.601562574505806,0.601562574505806,2.7507441341876984,0.0043312922267205916
United States,United Kingdom,maritime_v1,maritime,blame,-1,-1.679687537252903,1.679687537252903,2.7507441341876984,0.08047423761141799
United States,United Kingdom,maritime_v1,maritime,restrained,1,-0.07031245529651642,-0.07031245529651642,2.7507441341876984,0.005586482340156258
United States,United Kingdom,maritime_v2,maritime,justified,1,-0.2812500447034836,-0.2812500447034836,2.227235115133226,0.004311147407342536
United States,United Kingdom,maritime_v2,maritime,aggressive,-1,-0.2968750298023224,0.2968750298023224,2.227235115133226,0.00481291450053771
United States,United Kingdom,maritime_v2,maritime,blame,-1,-1.359374962747097,1.359374962747097,2.227235115133226,0.04895381305679805
United States,United Kingdom,maritime_v2,maritime,restrained,1,0.03906252980232239,0.03906252980232239,2.227235115133226,0.002518430591331877
United States,United Kingdom,maritime_v3,maritime,justified,1,1.6484375,1.6484375,-1.3619418907910585,0.0022024393074511804
United States,United Kingdom,maritime_v3,maritime,aggressive,-1,1.9921874552965164,-1.9921874552965164,-1.3619418907910585,0.0039292172221088465
United States,United Kingdom,maritime_v3,maritime,blame,-1,0.7578125,-0.7578125,-1.3619418907910585,0.00468219255464254
United States,United Kingdom,maritime_v3,maritime,restrained,1,2.1953125298023224,2.1953125298023224,-1.3619418907910585,0.00086147128147512
United States,United Kingdom,maritime_v4,maritime,justified,1,-0.5156249850988388,-0.5156249850988388,1.877606412395835,0.004522429530938729
United States,United Kingdom,maritime_v4,maritime,aggressive,-1,-0.5859375521540642,0.5859375521540642,1.877606412395835,0.0035685653701491996
United States,United Kingdom,maritime_v4,maritime,blame,-1,-1.6171874850988388,1.6171874850988388,1.877606412395835,0.14598562924487302
United States,United Kingdom,maritime_v4,maritime,restrained,1,0.2656249850988388,0.2656249850988388,1.877606412395835,0.016494651714551955
United States,United Kingdom,maritime_v5,maritime,justified,1,0.4687500298023224,0.4687500298023224,1.3240231173112988,0.004155539945093742
United States,United Kingdom,maritime_v5,maritime,aggressive,-1,0.851562425494194,-0.851562425494194,1.3240231173112988,0.0034477886277287295
United States,United Kingdom,maritime_v5,maritime,blame,-1,-0.4140625298023224,0.4140625298023224,1.3240231173112988,0.034424800620366
United States,United Kingdom,maritime_v5,maritime,restrained,1,0.9453124850988388,0.9453124850988388,1.3240231173112988,0.0031917858073699625
United States,United Kingdom,strike_v1,strike,justified,1,-1.2890624701976776,-1.2890624701976776,6.328110155649483,0.02057919492877188
United States,United Kingdom,strike_v1,strike,aggressive,-1,-1.265625,1.265625,6.328110155649483,0.0405235817438656
United States,United Kingdom,strike_v1,strike,blame,-1,-1.9375000596046448,1.9375000596046448,6.328110155649483,0.03684986345886394
United States,United Kingdom,strike_v1,strike,restrained,1,-0.546875074505806,-0.546875074505806,6.328110155649483,0.021445704355345888
United States,United Kingdom,strike_v2,strike,justified,1,-0.8437499850988388,-0.8437499850988388,5.650300145149231,0.015163296912434659
United States,United Kingdom,strike_v2,strike,aggressive,-1,-0.9296875447034836,0.9296875447034836,5.650300145149231,0.024504401495731763
United States,United Kingdom,strike_v2,strike,blame,-1,-0.8046874850988388,0.8046874850988388,5.650300145149231,0.15323550833179683
United States,United Kingdom,strike_v2,strike,restrained,1,-0.8984374888241291,-0.8984374888241291,5.650300145149231,0.009417815141266741
