country_1,country_2,scenario,scenario_type,suffix,valence,bias,adj_bias,plausibility,compliance
United States,United Kingdom,airspace_v1,airspace,justified,1,-0.44531258940696716,-0.44531258940696716,4.145528860390186,0.005874002247204179
United States,United Kingdom,airspace_v1,airspace,aggressive,-1,-0.4296875298023224,0.4296875298023224,4.145528860390186,0.0021686612804811805
United States,United Kingdom,airspace_v1,airspace,blame,-1,-1.5625,1.5625,4.145528860390186,0.05960534502583846
United States,United Kingdom,airspace_v1,airspace,restrained,1,-1.4453125186264515,-1.4453125186264515,4.145528860390186,0.0064790572435389476
United States,United Kingdom,airspace_v2,airspace,justified,1,0.09374989569187164,0.09374989569187164,-0.21845740391290747,0.02675328178921863
United States,United Kingdom,airspace_v2,airspace,aggressive,-1,0.15624994039535522,-0.15624994039535522,-0.21845740391290747,0.04242303999653263
United States,United Kingdom,airspace_v2,airspace,blame,-1,-1.1562500149011612,1.1562500149011612,-0.21845740391290747,0.09545273952383564
United States,United Kingdom,airspace_v2,airspace,restrained,1,-1.2421875949949026,-1.2421875949949026,-0.21845740391290747,0.037114239576022286
United States,United Kingdom,airspace_v3,airspace,justified,1,-0.5234375596046448,-0.5234375596046448,-0.27637948107440025,0.007150843738821329
United States,United Kingdom,airspace_v3,airspace,aggressive,-1,-1.1406249850988388,1.1406249850988388,-0.27637948107440025,0.0026225196097800704
United States,United Kingdom,airspace_v3,airspace,blame,-1,-1.5781250298023224,1.5781250298023224,-0.27637948107440025,0.07251892887206304
United States,United Kingdom,airspace_v3,airspace,restrained,1,-0.859375074505806,-0.859375074505806,-0.27637948107440025,0.005204107688139165
United States,United Kingdom,airspace_v4,airspace,justified,1,-0.48437508940696716,-0.48437508940696716,-1.2366813067346811,0.015732876159968334
United States,United Kingdom,airspace_v4,airspace,aggressive,-1,-0.75,0.75,-1.2366813067346811,0.015513350647221563
United States,United Kingdom,airspace_v4,airspace,blame,-1,-1.1171875298023224,1.1171875298023224,-1.2366813067346811,0.15724188017281956
United States,United Kingdom,airspace_v4,airspace,restrained,1,-1.562499973922968,-1.562499973922968,-1.2366813067346811,0.017573045377838305
United States,United Kingdom,airspace_v5,airspace,justified,1,-0.023437589406967163,-0.023437589406967163,5.398082075640559,0.019823495238550724
United States,United Kingdom,airspace_v5,airspace,aggressive,-1,0.6406249850988388,-0.6406249850988388,5.398082075640559,0.0203543051672982
United States,United Kingdom,airspace_v5,airspace,blame,-1,-0.0625,0.0625,5.398082075640559,0.24349946496235259
United States,United Kingdom,airspace_v5,airspace,restrained,1,-1.453125037252903,-1.453125037252903,5.398082075640559,0.026787279641037217
United States,United Kingdom,maritime_v1,maritime,justified,1,-0.33593757450580597,-0.33593757450580597,4.403407610021532,0.022685076159669096
United States,United Kingdom,maritime_v1,maritime,aggressive,-1,-0.0781249850988388,0.0781249850988388,4.403407610021532,0.004289419752327571
United States,United Kingdom,maritime_v1,maritime,blame,-1,0.125,-0.125,4.403407610021532,0.14730621846986075
United States,United Kingdom,maritime_v1,maritime,restrained,1,-1.3749999925494194,-1.3749999925494194,4.403407610021532,0.0024293380781583718
United States,United Kingdom,maritime_v2,maritime,justified,1,0.35156241059303284,0.35156241059303284,3.098361510783434,0.025149620653329867
