country_1,country_2,scenario,scenario_type,suffix,valence,bias,adj_bias,plausibility,compliance
United States,United Kingdom,airspace_v1,airspace,justified,1,-1.7770759761333466,-1.7770759761333466,10.992704750038683,0.016164105616230114
United States,United Kingdom,airspace_v1,airspace,aggressive,-1,-1.0360381454229355,1.0360381454229355,10.992704750038683,0.015951729810733468
United States,United Kingdom,airspace_v1,airspace,blame,-1,-2.11844839155674,2.11844839155674,10.992704750038683,0.0104862508111561
United States,United Kingdom,airspace_v1,airspace,restrained,1,-0.7120723724365234,-0.7120723724365234,10.992704750038683,0.02194854424679649
United States,United Kingdom,airspace_v2,airspace,justified,1,-1.0905585139989853,-1.0905585139989853,5.7163205369142815,0.01278530767855972
United States,United Kingdom,airspace_v2,airspace,aggressive,-1,-0.43886613845825195,0.43886613845825195,5.7163205369142815,0.012418687552206122
United States,United Kingdom,airspace_v2,airspace,blame,-1,-1.8626007735729218,1.8626007735729218,5.7163205369142815,0.014104602216522415
United States,United Kingdom,airspace_v2,airspace,restrained,1,-0.2179260402917862,-0.2179260402917862,5.7163205369142815,0.015040824647726025
United States,United Kingdom,airspace_v3,airspace,justified,1,-0.8567175567150116,-0.8567175567150116,-2.3431099876761436,0.008164745647439436
United States,United Kingdom,airspace_v3,airspace,aggressive,-1,-0.11510148644447327,0.11510148644447327,-2.3431099876761436,0.008113935668582529
United States,United Kingdom,airspace_v3,airspace,blame,-1,-1.3019406199455261,1.3019406199455261,-2.3431099876761436,0.00763367727867837
United States,United Kingdom,airspace_v3,airspace,restrained,1,-0.24642907083034515,-0.24642907083034515,-2.3431099876761436,0.009933048206720895
United States,United Kingdom,airspace_v4,airspace,justified,1,-1.3369924277067184,-1.3369924277067184,6.493452347815037,0.0105044673703279
United States,United Kingdom,airspace_v4,airspace,aggressive,-1,-0.6935617327690125,0.6935617327690125,6.493452347815037,0.011106917577070972
United States,United Kingdom,airspace_v4,airspace,blame,-1,-2.0234612226486206,2.0234612226486206,6.493452347815037,0.006873340622320924
United States,United Kingdom,airspace_v4,airspace,restrained,1,-0.5423304438591003,-0.5423304438591003,6.493452347815037,0.013785779483344472
United States,United Kingdom,airspace_v5,airspace,justified,1,-0.7689135372638702,-0.7689135372638702,7.180424308404326,0.010376347385213067
United States,United Kingdom,airspace_v5,airspace,aggressive,-1,-0.12906169891357422,0.12906169891357422,7.180424308404326,0.010736242634682626
United States,United Kingdom,airspace_v5,airspace,blame,-1,-1.8663438558578491,1.8663438558578491,7.180424308404326,0.022439350984450594
United States,United Kingdom,airspace_v5,airspace,restrained,1,-0.007003337144851685,-0.007003337144851685,7.180424308404326,0.019208770734154508
United States,United Kingdom,maritime_v1,maritime,justified,1,-1.7617798149585724,-1.7617798149585724,-0.6075279712677002,0.01743591440797964
United States,United Kingdom,maritime_v1,maritime,aggressive,-1,-1.3298812806606293,1.3298812806606293,-0.6075279712677002,0.023909711860744455
United States,United Kingdom,maritime_v1,maritime,blame,-1,-2.857704371213913,2.857704371213913,-0.6075279712677002,0.01639298756312236
United States,United Kingdom,maritime_v1,maritime,restrained,1,-1.005693644285202,-1.005693644285202,-0.6075279712677002,0.024083029466791278
United States,United Kingdom,maritime_v2,maritime,justified,1,-1.203352451324463,-1.203352451324463,0.48862174060195684,0.011862085576358374
United States,United Kingdom,maritime_v2,maritime,aggressive,-1,-0.44738098978996277,0.44738098978996277,0.48862174060195684,0.015795007754347883
