country,mean_favour,std,ci95,p_value,n,significant
Venezuela,3.6416338974237443,3.45409406120959,0.3385012179985398,7.37204314866078e-67,400,True
Japan,3.6213466696441174,4.098498919924858,0.4016528941526361,4.8976778038447814e-52,400,True
Indonesia,2.678416963368654,3.596801564871092,0.35248655335736695,3.3220864377391658e-40,400,True
China,1.5730365855991841,4.259383202511762,0.41741955384615265,8.90572015556702e-13,400,True
Canada,1.3366245883703232,3.827155691008611,0.3750612577188439,1.1993632412344474e-11,400,True
Australia,1.0460077968239785,3.91665246825517,0.38383194188900666,1.5534013640374053e-07,400,True
France,1.0313324964046477,4.384636419482602,0.429694369109295,3.516845499805755e-06,400,True
United Kingdom,-7.185506744012237,2.192784954028392,0.21489292549478242,1.091566661471704e-215,400,True
United States,-7.742892253622412,4.094450189149957,0.4012561185366958,5.188583564885553e-134,400,True
