pair,country_1,country_2,mean_bias,std,ci95,p_value,n_clusters,n_scenarios,consistency,plausibility,compliance,p_adjusted,significant
United Kingdom vs China,United Kingdom,China,-1.2638225066342523,0.16118646207987847,0.09990440423872834,1.3546577052470455e-09,10,70,0.014285714285714285,1.6730001568740072,0.0957992907280719,6.966811055556235e-09,True
France vs China,France,China,-1.202382172857012,0.12862396745885907,0.07972196097604542,2.8325617862187833e-10,10,70,0.3142857142857143,0.3055233683472612,0.1331854569799302,2.039444486077524e-09,True
United Kingdom vs Japan,United Kingdom,Japan,-1.1942954092419573,0.15925515635593285,0.09870736854935377,2.0113899615658002e-09,10,70,0.0,1.8682920675558308,0.11693760316280918,9.0512548270461e-09,True
United Kingdom vs Venezuela,United Kingdom,Venezuela,-1.0502312041819093,0.17832149973921793,0.11052481061079786,1.7006754205493246e-08,10,70,0.014285714285714285,3.7859244156679908,0.10512911189297751,4.709562703059669e-08,True
France vs Venezuela,France,Venezuela,-0.9435390359589031,0.16475547683301725,0.10211650250077012,2.175128557527006e-08,10,70,0.08571428571428572,3.029300121136774,0.09661172590209632,5.220308538064815e-08,True
United Kingdom vs France,United Kingdom,France,-0.9050243530688542,0.15076721585263841,0.09344648852101015,1.4383118008285124e-08,10,70,0.014285714285714285,1.506413064520731,0.11275798648400188,4.3149354024855366e-08,True
United Kingdom vs Indonesia,United Kingdom,Indonesia,-0.7844580278864929,0.17967300541363979,0.11136248250635361,2.312594747893866e-07,10,70,0.0,3.937589559572182,0.06504285157423784,3.9644481392466273e-07,True
Japan vs Venezuela,Japan,Venezuela,-0.7700198028768812,0.18286034827764758,0.1133380180806468,3.158193134361181e-07,10,70,0.0,2.6863567081961786,0.09929603313170139,5.167952401681933e-07,True
United Kingdom vs Canada,United Kingdom,Canada,-0.7418584714510611,0.1517323903757271,0.09404470988818545,8.669766254167656e-08,10,70,0.04285714285714286,1.0845870958702042,0.1417989277425935,1.733953250833531e-07,True
France vs Indonesia,France,Indonesia,-0.7260366146053586,0.16485174956341553,0.10217617295727602,2.145259415774499e-07,10,70,0.21428571428571427,2.711547622316032,0.08469697226128763,3.9644481392466273e-07,True
United States vs China,United States,China,-0.6640867390536835,0.13252912221202223,0.08214240096858935,6.999488300478712e-08,10,70,0.0,2.8891720058170773,0.13381677067862754,1.4822445812778451e-07,True
France vs Japan,France,Japan,-0.6311479557837758,0.09152848788041618,0.05672994452867353,4.230376574405685e-09,10,70,0.1,0.3960349238035438,0.17318324868699972,1.692150629762274e-08,True
United States vs Japan,United States,Japan,-0.5855289979704787,0.13382002685774927,0.08294251195741703,2.2697718147716275e-07,10,70,0.0,3.181332756340576,0.14319023914602072,3.9644481392466273e-07,True
United Kingdom vs Australia,United Kingdom,Australia,-0.5404995547873633,0.18386250814193886,0.11395916319979688,6.5465441478461386e-06,10,70,0.0,1.4612488605258802,0.15138136038422373,9.42702357289844e-06,True
United States vs Canada,United States,Canada,-0.36550129346017324,0.13247518501771524,0.08210897034920596,1.099980386321543e-05,10,70,0.0,2.397506591853731,0.16506531957748918,1.5230497656759826e-05,True
United States vs France,United States,France,-0.3135043629578182,0.12301263168184205,0.07624401902885798,2.086689879234204e-05,10,70,0.0,2.652651549248614,0.10015653222594194,2.7822531723122718e-05,True
